English,Mon,Original_Definition
Vi.  ဂမာအာ၊  ဍအာ။  ၂။  အာသိုက်သိုက်၊ ဂၠောန်အာ။  n.  ပွမဂမာအာ၊  ပွမဂမာကချေတ်အာမံၚ်ညိညိ။,crawl,vi.  ဂမာအာ၊  ဍအာ။  ၂။  အာသိုက်သိုက်၊ ဂၠောန်အာ။  n.  ပွမဂမာအာ၊  ပွမဂမာကချေတ်အာမံၚ်ညိညိ။
Vi.  ဂမြံဂအတ်၊  ဂအတ်ရမျှာၚ်၊  ဂရိၚ်၊  ဗြုဂဟီ၊  သဓဵု။  n.  ဗရုဂရိၚ်၊  ဗရုဂဟီ။,rumble,vi.  ဂမြံ(မြမ်)ဂအတ်၊  ဂအတ်ရမျှာၚ်၊  ဂရိၚ်၊  ဗြုဂဟီ၊  သဓဵု။  n.  ဗရုဂရိၚ်၊  ဗရုဂဟီ။
Vi.  ဂိတုမံက်၊  မံက်ကၠုၚ်။  ၂။  ဒှ်ကၠုၚ်။  waxing   ဂိတုမံက်၊  ဖာမံက်။  the moon waxed.   ဂိတုမမံက်။  n.  ပၠုဲ၊  ပၠုဲသာဲ။  ၂။  အရာ၊  အရာညံၚ်ရဴပၠုဲသာဲ။  waxen   မဆေၚ်စပ်ကဵုပၠုဲ၊  မတုပ်ညံၚ်ရဴပၠုဲ။  waxwork   ရုပ်ပၠုဲ။  wax candle   ပၞာၚ်ပၠုဲ။  waxpaper   စက္ခူပၠုဲ၊  စက္ခောပၠုဲ။  wax cloth.   ယာတ်ပၠုဲ။  beeswax   ပၠုဲ၊  ပၠုဲသာဲ။,wax,vi.  ဂိတုမံက်၊  မံက်ကၠုၚ်။  ၂။  ဒှ်ကၠုၚ်။  waxing (n)  ဂိတုမံက်၊  ဖာမံက်။  the moon waxed. (vi)  ဂိတုမမံက်။  n.  ပၠုဲ၊  ပၠုဲသာဲ။  ၂။  အရာ၊  အရာညံၚ်ရဴပၠုဲသာဲ။  waxen (adj)  မဆေၚ်စပ်ကဵုပၠုဲ၊  မတုပ်ညံၚ်ရဴပၠုဲ။  waxwork (n)  ရုပ်ပၠုဲ။  wax candle (n)  ပၞာၚ်ပၠုဲ။  waxpaper (n)  စက္ခူပၠုဲ၊  စက္ခောပၠုဲ။  wax cloth. (n)  ယာတ်ပၠုဲ။  beeswax (n)  ပၠုဲ၊  ပၠုဲသာဲ။
Vi.  ဂေတ်ဂ္ၚေၚ်အာကၠုၚ်အတေံအဏံ။  ၂။  ဂေတ်သ္ပဝ်ဇွောဝ်စှ်ေကၠုၚ်။,meander,vi.  ဂေတ်ဂ္ၚေၚ်အာကၠုၚ်အတေံအဏံ။  ၂။  ဂေတ်သ္ပဝ်ဇွောဝ်စှ်ေကၠုၚ်။
Vi.  ဂေတ်ဂ္ၚေၚ်၊  ဂေတ်ဝေၚ်၊  ဂေတ်ဝေၚ်အာကၠုၚ်။,rove,vi.  ဂေတ်ဂ္ၚေၚ်၊  ဂေတ်ဝေၚ်၊  ဂေတ်ဝေၚ်အာကၠုၚ်။
Vi.  ဂံက်၊  ဂတဝ်ၜိုဟ်ဒၟံၚ်ဍုက်ဍုက်။  n.  ဒဒှ်ဂတဝ်ၜိုဟ်ဒၟံၚ်ဍုက်ဍုက်။  shiver with cold.   တ္ၜိုဟ်ဇတဝ်၊  ၜိုဟ်ဂံက်။,shiver,vi.  ဂံက်၊  ဂတဝ်ၜိုဟ်ဒၟံၚ်ဍုက်ဍုက်။  n.  ဒဒှ်ဂတဝ်ၜိုဟ်ဒၟံၚ်ဍုက်ဍုက်။  shiver with cold. (vi)  တ္ၜိုဟ်ဇတဝ်၊  ၜိုဟ်ဂံက်။
Vi.  ဂ္ဇံလပိုက်ဖျေံလဝ်ဇိုၚ်တဲ၊  ဒလာတိက်တသဵုလဝ်ဇိုၚ်တဲ၊  လတ်စှ်ေလ္ၚာဒ။  ၂။  ချူလိက်တဲမခြးဒၟံၚ်။  n.  ဒဒှ်မဂ္ဇံလပိုက်ဖျေံလဝ်ဇိုၚ်တဲ၊  ဒဒှ်မချူလိက်တဲခြးခြေၚ်ဒၟံၚ်။,sprawl,vi.  ဂ္ဇံလပိုက်ဖျေံလဝ်ဇိုၚ်တဲ၊  ဒလာတိက်တသဵုလဝ်ဇိုၚ်တဲ၊  လတ်စှ်ေလ္ၚာဒ။  ၂။  ချူလိက်တဲမခြးဒၟံၚ်။  n.  ဒဒှ်မဂ္ဇံလပိုက်ဖျေံလဝ်ဇိုၚ်တဲ၊  ဒဒှ်မချူလိက်တဲခြးခြေၚ်ဒၟံၚ်။
Vi.  ဂ္ဇံလၞုဟ်၊  ဇြိုပ်ဇြုဲ‎ဲဒၟံၚ်၊  ဒလာဲတုဲထတဴ။  n.  ဂဒံသွက်ဂွံဇူဒီုကရေၚ်ထ္ၜိုဟ်လၟောၚ်ခိုဟ်။,lounge,vi.  ဂ္ဇံလၞုဟ်၊  ဇြိုပ်ဇြုဲ‎ဲဒၟံၚ်၊  ဒလာဲတုဲထတဴ။  n.  ဂဒံသွက်ဂွံဇူဒီုကရေၚ်ထ္ၜိုဟ်လၟောၚ်ခိုဟ်။
Vi.  ဂြိပ်ဒဴ၊  ဗလေတ်ပဲါဒၟံၚ်။,abscond,vi.  ဂြိပ်ဒဴ၊  ဗလေတ်ပဲါဒၟံၚ်။
Vi.  ဂြိပ်ပြးဇးအာ၊  ဂြိပ်ဂစာန်ဟွံရုဲလ္ပာ်တေံလ္ပာ်ဏံ။  n.  ဒဒှ်မဂြိပ်ဂစာန်ဒဝါန်တိတ်အာ။,rampage,vi.  ဂြိပ်ပြးဇးအာ၊  ဂြိပ်ဂစာန်ဟွံရုဲလ္ပာ်တေံလ္ပာ်ဏံ။  n.  ဒဒှ်မဂြိပ်ဂစာန်ဒဝါန်တိတ်အာ။
