English,Mon,Original_Definition
Unanimously.  နဒဒှ်မဒှ်ညးမွဲတၠဓဝ်။,နဒဒှ်မဒှ်မွဲကသပ်မွဲဂၞန်,(adv) unanimously. [id] နဒဒှ်မဒှ်ညးမွဲတၠဓဝ်။
Unaspirated consonants,အက္ခဝ်သိလိလ,"(n) unaspirated consonants, such as က၊ ဂ၊ စ၊ ဇ။ (etc.)"
Unassuming person,မၞိဟ်ၜိုဟ်ၜိုဟ်,"(n) quiet, unassuming person."
Unavoidably.  နဒဒှ်သွက်သ္ဂောံဝေၚ်ပဲါဟွံလောဲ။,ဟွံလောဲသွက်ဂွံဝေၚ်ပဲါ,(adv) unavoidably. [id.] နဒဒှ်သွက်သ္ဂောံဝေၚ်ပဲါဟွံလောဲ(ယ်)။
Unblemished.  ဒ္စၚ်ဗ္စၚ်။,ဒစၚ်,"(v) ဒစၚ်ဗစၚ် (v) to be clear, pure, unblemished. [id] ဒ္စၚ်ဗ္စၚ်။"
Unblemished.  ဗ္ၜၚ်၊ ဒစၚ်ဗ္ၜၚ်။,ဗၜၚ်,"(v) to be clear, to be pure, unblemished. [id] ဗ္ၜၚ်၊ ဒစၚ်ဗ္ၜၚ်။"
Unboiled water,ဍာ်ကၟု,(n) unboiled water.
Unbroken line ,အဆက်အဆေန်,"(n) unbroken line {of ancestry, tradition, practice, etc}."
Unburden one’s feelings.  openly,ပံက်သြိုဟ်,"(v) open one’s heart, unburden one’s feelings. (adv) openly, frankly, frankly in plain view, candidly, conspicuously, flagrantly. [id] တေဝ်တေဝ်သေဝ်သေဝ်။"
Uncared for,အနာထ,"(adj.) [P.] helpless, forlorn, unhappy, careless, uncared for, forsaken, destitute."
Uncaring,ဟွံသ္ပကာ,"(v) disregard, uncaring, do not care, be heedless of, not to mind, be indifferent."
Uncast rated horse,ချေံပရိုက်,"(n) stallion, stud horse, uncast rated horse."
Unceasingly,ဟွံဇူဟွံယီု,"(adv) incessantly, unceasingly, non-stop."
Unceasingly,ဟွံပိုတ်,"(adv) always, unceasingly, without intermission, continuously."
Uncertain,ယံၚ်,"2 (v) uncertain, confused, bewilder, to imitate without consideration, to do because of other do."
Uncertain,အနိယတ,"(n) [P.] uncertain, doubt, common, ordinary, plebeian."
Uncertainly,ထုဲထံၚ်,"2 (adv) uncertainly, confusedly, in a bewildered manner. [Var.] ကြာန်၊ ဝိဝိၚ်။"
Uncertainly,အသၚ်္ကာ,"(n) [P.] doubt, uncertainly."
