English,Mon,Original_Definition
Gambler.  မၞိဟ်ဝေၚ်လံၚ်စ၊ လမေံ၊ လမာံပါသ်၊ လမာံပး။,မၞိဟ်ဝေၚ်,(n) gambler. [id.] မၞိဟ်ဝေၚ်လံၚ်စ၊ လမေံ(မ်)၊ လမာံပါသ်၊ လမာံပး။
Gambler.  လၟေံ၊ လၟေံပါသ်။,သၟာပး,"(n) gambling promoter, dicer, gambler. [id.] လၟေံ(မ်)၊ လၟေံပါသ်။"
Gambling,ပဝေၚ်ပး,"(n) gambling, dicing."
Gambling,ပါသ်,"(n) [P.] gambling, dicing."
Gambling promoter,သၟာပး,"(n) gambling promoter, dicer, gambler. [id.] လၟေံ(မ်)၊ လၟေံပါသ်။"
Gambling promoter.  သၟာပး။,ခမှာပး,(n) gambling promoter. [id] သၟာပး။
Gambling.    ခတ်ပး  dice.    ဂတဵုပး  chessboard,ပး,"1 (n) [Skt. pasa] games of chance, gambling.    ခတ်ပး (n) dice.    ဂတဵုပး (n) chessboard, draught board.    သတ်ပး (n) chessman.    သၟာပး (n) gambling promoter."
Gambling.  ပး၊ ပါသ်။,ဒဒှ်မဝေၚ်လံစ,(n) gambling. [id] ပး၊ ပါသ်။
Gambol,တ္ဍတ်,"2 (v) frolic, gambol, play, be in high spirit, be lively, light.    ဆေၚ်ဗြုတ္ဍတ် (v) to music is playing in high spirit."
Game,ဂြိုပ်,သတ်ဂြိုပ် (v) game.
Game animal,သတ်ဂြိုပ်,"(n) wild animals, game animal, prey. [id.] စၞဗြာန်။"
Game cocks fighting,ပေဲါဂဇဵုစာၚ်,(n) game cocks fighting.
Game of tag,ဝေၚ်ဒဴဗက်,(v) game of tag.
Game played on a field by two teams of eleven players each,ဟံက်ကဳ,"(n) [Eng.] Hockey, game played on a field by two teams of eleven players each, with curved sticks and small hard ball."
Game somewhat like the game of leap frog,ဂြိပ်ဒံၚ်ထလာ်ဗီုၚဴ,(v) game somewhat like the game of leap frog.
Gamecock,စာၚ်ဂဇဵု,(n) gamecock.
Games of chance,ပး,"1 (n) [Skt. pasa] games of chance, gambling.    ခတ်ပး (n) dice.    ဂတဵုပး (n) chessboard, draught board.    သတ်ပး (n) chessman.    သၟာပး (n) gambling promoter."
Gamesters.  မၞိဟ်ဝေၚ်။,မၞိဟ်မလုတ်ကဵုဝေၚ်,(n) gamesters. [id.] မၞိဟ်ဝေၚ်။
Gander,အဟာန်ကၟက်,(n) gander.
Gandharva,ဒေဝတဴဂန္ဓဝ်,"(n) Gandharva, a celestial musician. [id] ဂန္ဓဝ်။"
Ganes’a.  ဗဳနာယက။,ဗဳနာဲ,"(n) Vinayaka, Ganes’a. [id] ဗဳနာယက။"
Gang,ဂိုန်,"1 (n) gourp, sect, gang."
Gangster.  မၞိဟ်ဝေၚ်။,မၞိဟ်ပရံကောန်ဂိုန်မွဲ,(n) gangster. [id.] မၞိဟ်ဝေၚ်။
Ganja,ဘၚ်,"2 (n) Indian hemp, ganja, cannabis, hashish, marijuana, hemp."
Gaol,ဂုက်,"(n) gaol, prison, prison cell, cage for prisoner, jail, lock-up. [Var.] ကြိုၚ်စုတ်လဝ်ပ္ဍဲခရိုၚ်၊ စာတ်၊ သ္ၚိစာတ်။ [Syn.] ထံၚ်။"
Gaolbird.  မၞိဟ်မလေပ်ပ္ကီုပရာပ်အမှုရာဇဝတ်။,မၞိဟ်ဒးထံၚ်ပယျတ်ပယျတ်,(n) gaolbird. [id.] မၞိဟ်မလေပ်ပ္ကီုပရာပ်အမှုရာဇဝတ်။
Gaoler,ဇမၞော်ဂုက်,(n) gaoler.
Gaoler.  ညးဇမၞော်ထံၚ်။,ညးဇမၞော်ဂုက်,(n) gaoler. [id] ညးဇမၞော်ထံၚ်။
Gapingly,ဂဟာ်,"(adv) gapingly, without hindrance, obstruction. (v) to open. [id] လဟာ်(က်)။"
Gapingly,လဟာ်,"(adv) gapingly, without hindrance, obstruction, etc. (adj) gaping, yawning, bare."
Garage.    ဗံက်ကာ  to drive a car.  မဝ်တဝ်ကာ။    ကာခြပ်ပ္သဲ  armoured car.    ကာဂျိပ်   jeep,ကာ,"2 (n) motor car, bus. [id] ကွဳစက်။    ကွဳစက်ခြပ်ပ္သဲ(ယ်) (n) armoured car.    ကွဳစက်ပန် (n) four buses.    ၚုဟ်ကာ (n) bus fare.    တိုက်လေဝ်ကာ (n) car repairing workshop, garage.    ဗံက်ကာ (v) to drive a car. [Cf.] မဝ်တဝ်ကာ။    ကာခြပ်ပ္သဲ(ယ်) (n) armoured car.    ကာဂျိပ် (n) [Eng.] jeep."
Garbage,ခမိက်,"(n) see အမှေက် (n) rubbish, garbage, litter."
Garbage,အမှိက်,"(n) rubbish, garbage, litter, waste. [id] အမှိက်အမှံၚ်။"
Garbled language,အရေဝ်ဂၠံၚ်ဗ္တး,"(n) back-slang, garbled language."
Garbled language.    အဲဟွံဗ္တး  i will not turn round.    ပၠန်ဗ္တး  to be overturned,ခတး,"2 (v) to reverse, turn about, upside down, to turn round, be reversed. [id] ဗ္တး။    အရေဝ်ဂၠံၚ်ဗ္တး (n) back-slang, garbled language.    အဲဟွံဗ္တး (v) I will not turn round.    ပၠန်ဗ္တး (v) to be overturned, to put an end to, conclude.    ဗ္ကပ်ဗ္တး (v) to turn upsides down.    ဗၠန်ဗ္တး (v) to be upset, overturned.    လက်ဗ္တး (v) topsy-turvy, inside out. [Cf.] ပၠောတ်၊ ဗ္တက်၊ ဗ္ကပ်၊ ဗၠန်။    [Der.] ဗ္တက် (v) to turn upside down.    ဗ္တးက္ဍိုပ် (v) to trace one’s steps. [id] ဗ္တးမုက်။    ဗ္တးဂျန် (v) to stand on one’s head."
Garcenia corva roxburgh yielding gam boge.  ဒယာ်။,ခယာ်,"(n) yellow varnish tree, Garcenia corva Roxburgh yielding gam boge. [id] ဒယာ်(က်)။"
Garcinia pedunculata,တၞံဗလံ,"တၞံဗလအ် (n) a kind of tree bearing pleasantly acidulous fruit, Garcinia pedunculata."
Garcinia pedunculata,ဗလံ,"2 ဗလအ် (n) tree bearing pleasantly acidulous fruit, Garcinia pedunculata."
Garcinia pedunculata,ဗလအ်,"2 (n) tree bearing pleasantly acidulous fruit, Garcinia pedunculata."
Garden,ကၠံ,"(n) garden, [esp.] market garden, on open unirrigated land plantation."
Garden crass,ဇဳဗ္ကေတ်,"(n) garden crass, Lepidium sativum L."
Garden crops,သတ်ဆုသတ်ဒုန်,"(n) fruit, garden crops."
Garden croton,ကဴတၞး,"(n) garden croton, Codiaeom variegatum."
Garden plant with crisp green leaves,သၞေဝ်ကြုက်,"(n) lettuce, garden plant with crisp green leaves, its leaves used as food {esp. in salads}."
Garden rake.  ဂဟာ။  ဂရး။,တၚာ,2 (n) garden rake. [id] ဂဟာ။ [Syn.] ဂရး။
Gardener,တလ,"တၠကၠံ(အ်) (n) gardener, the owner of a garden or clearing."
Gardener .  ရဲကၠံ။  ကၠံသတ်  kloh saot,ကၠံ,"သၟာကၠံ(အ်) (n) market gardener, gardener {mali}. [id] ရဲကၠံ(အ်)။ {place-name} ကၠံသတ် (n) Kloh saot."
Gardener.  ဇမၞော်ဥဒျာန်။,ရဲဂူ,"(n) market gardener, gardener. [id.] ဇမၞော်ဥဒျာန်။"
Gardener.  မာလဳ၊ မှာကၠံ၊ သၟာကၠံ။,ရဲကၠံ,(n) {market} gardener. [Cf.] မာလဳ၊ မှာကၠံ(အ်)၊ သၟာကၠံ(အ်)။
