English,Mon,Original_Definition
Calamity,ဘယ်,"(n) calamity, punishment."
Calamity,အန္တရာဲ,"(n) [P.] danger, harm, accident, calamity, disaster."
Calamity,ဥပဒြဴ,"(n) [Skt. upadrava] mischance, calamity."
Calamity time of catastrophe,ကပ်,"2 (n) natural disasters, an era, calamity time of catastrophe."
Calamus lalifolius rattan,ထာ,(n) ဇုက်ၜဝ်လေံထာ (n) Calamus lalifolius rattan.
Calamus latifolious rattan,ဌာ,(n) ဇုက်ၜဝ်လာံဌာ(ထာ) (n) Calamus latifolious rattan.
Calamus latifolius roxbrugh,ဇုက်ၜဝ်,"ဇုက်ၜဝ်လေံထာ (n) large species of rattan, Calamus latifolius Roxbrugh."
Calamus long isetus griffith,ခတိုအ်,"(n) ခတိုံဇုက် (n) a kind of rattan, Calamus long isetus Griffith."
Calculate,တမော်,"(v) do or work out arithmetical sums, solve mathematical problem, calculate, compute, consider, reckon. [id] တၟော်။"
Calculate,တော်တၟော်,"(v) to cast up accounts, do or work out arithmetical sum, solve arithmetical problem, calculate, compute."
Calculate,တၟော်,"(v) give an account, do or work out arithmetical sums, solve mathematical problem, calculate, compute, consider, reckon, refuse to do things because others would not. [id] တမှော်။"
Calculate,သြိုဟ်,"6 (v) သြိုဟ်လၟိဟ် (n) to reckon, calculate, number. [id.] သရိုဟ်လၟိဟ်။"
Calculating machine,စက်တော်ဂၞန်,"(n) calculator, calculating machine."
Calculation,ကမော်,"ကမော်(က်) (n) calculation, account. [id] တၟော်(က်)။"
Calculation,ကိုန်တၟော်တော်,"(n) forecast, calculation, method of counting."
Calculation,ပွမတော်တၟော်,"(n) calculation, computation. [id] ဒဒှ်မတော်တၟော်။"
Calculation,လၟော်,"2 (n) a number, calculation, account."
Calculation,လၟောက်,"2 (n) a number, calculation, account."
Calculator,စက်တော်ဂၞန်,"(n) calculator, calculating machine."
Calculus,ကေဝ်(လ)ကုလာတ်,(n) [Eng.] calculus.
Calcutta,ဍုၚ်ကာလကာတ်တာ,(n) Calcutta.
Calendar,ကြက္ကဒိန်,(n) calendar.
Calendar,သၚ်ဝတ်စဝ်,"(n) [P. samvaccharo] almanac, calendar."
Calendar era,သက္ကရာတ်,"(n) era, epoch, date, year, calendar era, esp. that commonly used in Burma. [id.] သက္ကရာဇ်။"
Calendar.  ကြက္ကဒိန်။,ပက္ခဒိန္န,(n) calendar. [Syn.] ကြက္ကဒိန်။
Calf of leg,ခဒအ်,"ဂဒံဗြာတ် (n) plantain bud, calf of leg, bulging part of pagoda spire below က္ဍိုၚ် umbrella. [Cf.] first sense, ခၟောံ(မ်)။ second sense, ဂဒေါတ်။"
Calf of leg,ခဒံ,"ခဒံ(အ်) (n) muscle. [id] ဂဒံ(အ်)။ ဂဒံဗြာတ် (n) plantain bud, calf of leg, bulging part of pagoda spire below က္ဍိုၚ် umbrella. [Cf.] first sense, ခၟောံ(မ်)။ second sense, ဂဒေါတ်။"
Calf of the leg.  ဂဒံဗြာတ်။,ကဒတ်,(n) calf of the leg. [Syn.] ဂဒံဗြာတ်။
Calf တေံညိ။,calves,ရံၚ် calf တေံညိ။
Caligraphy,လိက်အုပ်ပ္ကတ်ပယျေဝ်မလိက်,"(n) copy book writing penmanship, caligraphy."
Call,ထ္ၜုတ်,"2 (v) accuse, implicate, designate, name, call."
