English,Mon,Original_Definition
Sacred book,အဂီု,"(n) [P. agomo] fable, short tale, sacred book, scriptures, doctrine, old wives tale."
Sacred flag-staff.  ဒယိုၚ်ဇၞောဝ်။,ဒယိုၚ်ဇၞောဝ်,"(n) flag pole, post with figure of brahminy duck on top, used to support prayer-flag, sacred flag-staff. [Cf.] ဒယိုၚ်ဇၞောဝ်။"
Sacred ground,တိဝတ္တက,"(n) land donated for religious purposes, sacred ground, glebe land."
Sacred language of buddhism.  ပလိ၊ ပါလိ။,ပါဠိ,"(n) [P.] Pali, sacred language of Buddhism. [id] ပလိ၊ ပါလိ။"
Sacred relic,ဓါတ်,"(n) [P. / Skt. dhatu] element, constituent part of the body, humour, primary substance, sacred relic, power produced by electricity or internal combustion engine."
Sacred thread,ပရိုတ်,"ဇုက်ပရိုတ် (n) sacred thread, charmed cord."
Sacred thread held by monks in this ritual and by participants in other ceremonies,ပရိုတ်,"(n) [P. paritta] [Recitation] Sutta to ward off evil or harm, consecrated cord, paritta invocation, recited by monks to avert evil influences from and pnterprise, sacred thread held by monks in this ritual and by participants in other ceremonies, amulet."
Sacred thread used in paritta invocation and other ceremonies,ဇုက်ပရိုတ်,"(n) charmed cord, sacred thread used in paritta invocation and other ceremonies."
Sacred whorl appearing on the forehead of the buddha,ဗြ,"(n) ဗြကၞေၚ် (n) fillet round hair, hairline of Buddha image, crown, sacred whorl appearing on the forehead of the Buddha, be jewelled frontlet which forms part of the royal regalia."
Sacredness,ဒဒှ်မစွံဒၞာဲဌာန်အဲပရဲ,(n) sacredness.
Sacredness,လကျာ်,"ကဵုလကျာ်တံပေါန်မၞးတံဟာ (n) will your reverences refresh yourselves? [Cf.] ကျာ်(က်)၊ တၠ (n) lord, တၠဂုန်။ [Der.] ကျာ်(က်) (n) sacredness."
Sacrifice,ယတ်,"(n) [Skt. Yajna] sacrifice, sacrificial offerings. [id.] ယဇ်။"
Sacrifice self-interest,သၠးဖဵုဇကု,"(v) (adj) selflessly, sacrifice self-interest."
Sacrificial,မဆေၚ်စပ်ကဵုဒဒှ်မပူဇဴယဇ်,(adj) sacrificial.
Sacrificial alter,ပၞၚ်ယတ်,"(n) an altar for sacrifices, sacrificial alter."
Sacrificial offerings.  ယဇ်။,ယတ်,"(n) [Skt. Yajna] sacrifice, sacrificial offerings. [id.] ယဇ်။"
Sacrificial post,တိုၚ်ယတ်,(n) sacrificial post.
Sacrilegious,မဟွံသ္ပဂရု မဟွံသ္ပကေၚ်ကာကဵုအရာမစွံလဝ်သွက်သ္ဂောံအဲပရဲ,(adj) sacrilegious.
Sacrilegious   မဟွံသ္ပဂရု,sacrilege,"n.  ဒဒှ်မဟွံသ္ပဂရု,မဟွံသ္ပကေၚ်ကာကဵုအရာမစွံလဝ်သွက်ဂွံအဲပရဲ။  sacrilegious (adj)  မဟွံသ္ပဂရု, မဟွံသ္ပကေၚ်ကာကဵုအရာမစွံလဝ်သွက်ဂွံအဲပရဲ။"
Sacrum,ဇုတ်ထာၚ်ဒဳ,"(n) sacrum, croup {horse}. [id] စ္ၚာၚ်ဂၞိၚ်။"
Sad face,အောဝ်,"မုက်အောဝ် (v) sad face, [id] မုက်ဟွံမြဴ။"
Sad of countenance,ဇြဟောံ,(v) sad of countenance.
Sadden.  သ္ကဵုအောန်စိုတ်လေၚ်ဇွောဝ်။,သ္ကဵုစိုပ်အာကဆံၚ်စိုတ်ဟွံမိပ်,(v) sadden. [id.] သ္ကဵုအောန်စိုတ်လေၚ်ဇွောဝ်။
Saddle,က,"5 (n) howdah, harness, saddle."
Saddle,ဖုန်ချေံ,(n) saddle.
Saddle,သၞာစးချေံ,(n) saddle.
Saddle-bag.  ထိုၚ်မကွက်လဝ်ပ္ဍဲဖုန်ကွဳလိုန်။,ထိုၚ်မကွက်လဝ်ပ္ဍဲဖုန်ချေံလ္ပာ်တေံလ္ပာ်ဏံ,(n) saddle-bag. [id] ထိုၚ်မကွက်လဝ်ပ္ဍဲဖုန်ကွဳလိုန်။
Saddled the sindhian horse,လ္ၚး,ချေံသိန္ဓဴဒက်လဝ်လ္ၚး (n) saddled the Sindhian horse.
Saddler.  မၞိဟ်ကၠောန်ပ္တိတ် ကပေါတ်စၞာံ။,မၞိဟ်ကၠောန်ဖုန်ချေံ,(n) saddler. [id.] မၞိဟ်ကၠောန်ပ္တိတ် ကပေါတ်စၞာံ(မ်)။
Sadhame ,ဍုၚ်သဓီု,(n) Sadhame {Bur. Thaton}.
Sadhame.  ဍုၚ်သဓီု။,သဓီု,1 (n) {place-name} Sadhame. [id.] ဍုၚ်သဓီု(မ်)။
Sadhame.  ဍုၚ်သဓီု။,သဓိုမ်,1 (n) {place-name} Sadhame. [id.] ဍုၚ်သဓီု(မ်)။
Sadhame.  သဓီု၊ ဒတန်၊ ထာန်၊ ဒန်။,ကဓီု,"(n) place of abode, a Mon city that was famous in the old days time, Sadhame. [id] သဓီု(မ်)၊ ဒတန်၊ ထာန်၊ ဒန်။"
Sadist,မၞိဟ်မဒးဂၞပ်သွက်ဂွံပျဲပျာံညး,(n) sadist.
Sadistic,မဒးဂၞပ်ကဵုပျဲပျာံညး,(adj) sadistic.
Sadly,နဒဒှ်မအောန်စိုတ်,(adv) sadly.
Sadly,နဒဒှ်မအောန်စိုတ်ဂၠိုက်ဟောံ,(adv) sadly.
Sadness,ဒဒှ်မအောန်စိုတ်,(n) sadness.
Safe ,တလာမဒုၚ်ပၟတ်,(n) safe {for keeping money or valuables}.
Safe conduct,စၟတ်တဲကဵုအခေါၚ်သွက်ဂွံတတ်အာကၠုၚ်,(n) safe conduct.
Safe heaven,သၞေဟ်ရောဓ,"(n) safe heaven, heaven of peace, Nirvana."
Safe-guard.  ဒဒှ်မစဵုဒၞာ၊ ပွမစ္ၜဵုစ္ၜော်သၞေဟ်သြၚ်၊ ပွမစဵုဒၞာကဵု။,ဇွောံစဵုဒၞာ,"(n) protection, safe-guard. [id] ဒဒှ်မစဵုဒၞာ၊ ပွမစ္ၜဵုစ္ၜော်သၞေဟ်သြၚ်၊ ပွမစဵုဒၞာကဵု။"
Safekeeping,ဒဒှ်မသ္ပဂရုသီဂိုၚ်ဒေပ်လဝ်,(n) safekeeping.
Safely.  နဒဒှ်တၟောန်ခရောန်။,နဒဒှ်မဟၟဲကဵုအန္တရာဲ,(adv) safely. [id] နဒဒှ်တၟောန်ခရောန်။
Safety,ဒါန်လမျီု,"(n) safety, protection from harm."
Safety,ပရာ်,"(n) safety, security, healing."
Safety,ပရာက်,"(n) safety, security, healing."
Safety,အဘယ,"(n) [P.] safety, absence from danger."
