English,Mon,Original_Definition
Back.    တၠိၚ်ရုပ်မၞိဟ်  forgetfulness.  တၠိၚ်။,ကလိၚ်,"4 (v) to be mistaken, err. [id] တလိၚ်၊ တၠိၚ်။    တၠိၚ်ကာလ (v) to err the time, to miss the time.    တၠိၚ်ဂၠံၚ် (v) to take the wrong road, to miss the road.    တၠိၚ်ဒြပ် (v) to err the property.    တၠိၚ်ပန်စွံ (n) four kinds of error, four objects of forgetfulness.    တၠိၚ်ရုပ် (v) to err the form, back.    တၠိၚ်ရုပ်မၞိဟ် (n) forgetfulness. [Var.] တၠိၚ်။"
Back.  စး,ဒူစး,(n) back. [Cf.] စး
Back.  စၞိန်၊ စၞိန်စး။,စနိန်,(n) back. [id] စၞိန်၊ စၞိန်စး။
Back.  သၞာတ်။,နှာတ်,"(v) {colloq} to bend, pull, back. [id] သၞာတ်။"
Backache.  ယဲတိုန်ဖက်။,ယဲတွိုန်ဇက်,"(n) rheumatism, backache. [Cf.] ယဲတိုန်ဖက်။"
Backbiting,ပဝ,"ပွမဟီုဗျဵုအကြာညး (n) slander, backbiting."
Backbiting.  ပွမဟီုဗဇဵုအကြာညး။,ပဝ,"ပွမပိုဟ်ကၠေံဂုန်ညး (n) slander, backbiting. [id] ပွမဟီုဗဇဵုအကြာညး။"
Background,ဒၟုၚ်ဗွဲကြဴ,(n) background.
Background.    ဇၞိက်ရုပ်ကရိုန်နာနာသာ်  tapestry embroidered with a variety of pictorial designs,ဇၞိက်,"1 (n) curtain.    ထိုၚ်ဇၞိက် (v) to hang curtains. [id] စဵုဇၞိက်။ [Cf.] ဂၞိက်၊ ဒၞိက်၊ ဓၞိက်၊ ယာတ်ဗ္တၚ်၊ ယာတ်တရၚ်။    ဇၞိက်ဒုၚ်ဗွဲကြဴ (n) back-drop, background.    ဇၞိက်ရုပ်ကရိုန်နာနာသာ် (n) tapestry embroidered with a variety of pictorial designs."
Backwards,ဂၠံၚ်ဆုတ်,(n) backwards.
Backwards and forwards,ဆုတ်တိုန်ဆုတ်စှ်ေ,"(adv) {move} backwards and forwards, undecidedly."
Bacteria,ဗိတ်တဳရဳယျာ,(n) {Eng.} bacteria.
Bacteria.  စၟဗိတ်တဳရဳယျာ။,စၟက္တဵုဗဒှ်ယဲ,(n) bacteria. [id] စၟဗိတ်တဳရဳယျာ။
Bad,သရာံ,"(n) သရာံပါပ် (n) bad, evil, wrong doing, demerit, sin, sinful deed."
Bad,သရာမ်,"(n) သရာံပါပ် (n) bad, evil, wrong doing, demerit, sin, sinful deed."
Bad,ဟိဏ္ဏ,"(adj) [P. hino] low, bad, wretched."
Bad character,ပၠံၚ်ကျာ,"(n) bad character, windpipe, trachea, air duct. [Syn.] ပၠံၚ်ပၠောပ်ကျာ၊ ဂစောတ်ကျာ။"
Bad character,မၞိဟ်လီုလီု,(n) bad character.
Bad character,မၞိဟ်သၟာ်,"(n) lawless person, bad character."
Bad character woman,ဣပၠၚ်ကျာ,(n) bad character woman.
Bad character.  ပၠံၚ်ကျာ၊ ဒဒှ်ဒ္ဂေတ်ပဋိပတ်ပရေံ။,ပၠၚ်ကျာ,(v) bad character. [id] ပၠံၚ်ကျာ၊ ဒဒှ်ဒ္ဂေတ်ပဋိပတ်ပရေံ(အ်)။
Bad conduct,အနာစာရ,"(n) [P.] bad conduct, wicked conduct, evil conduct, immoral conduct."
Bad influence,သၟုဟ်,"(n) fumes, cool, vapour, steam, bad influence."
Bad man,အယုတ်,"(n) unworthiness, knave, rake, bad man, wicked and evil person."
Bad manner.  ပွအနာစာရ၊ စရိုတ်ယုတ်ယုတ်။,စရိုတ်ပွသၟဝ်,(n) bad manner. [id] ပွအနာစာရ၊ စရိုတ်ယုတ်ယုတ်။
Bad manners,ပွအနကာရ,"(n) [P. Anacaro} bad conduct, bad manners."
Bad smell,အမြာဲမသ,"(n) foul smell, bad smell, stink."
Bad time,ခေတ်ပရေံ,(n) bad time.
Badger,ဂြဟ်,"2 (v) to wheedle, pester, badger, worry. [id] ဂြဟ်ဂြဴ၊ ဂြဟ်ဂြာဲ။"
Badger,သတ်တုပ်ကၠိက်တုပ်ကၠဵု,"(n) badger, hog-badger."
Badly brought up child,ဝေတ်ဗ္တောန်,ကောန်ယာဲဟွံဝေတ် (v) badly brought up child.
Badness,ဒဒှ်မဒှ်အကာဲအရာဟွံခိုဟ်,(n) badness.
Baego ,ဍုၚ်ဗဂေါ,(n) Baego {Bur. Pegu}.
Baego or haongsarwaetoi,ဟံသာဝတဳ,"(n) [LF] classical name of Baego {Pegu}, ဗဂေါ (n) Baego or Haongsarwaetoi."
Bael,တၞံဗဳ,"(n) bael, quince, Bengal quince, Aegle marmelos  Correa."
Bael,ဗဳ,"2 (n) bael, Gengal quince, Aegle marmelos Correa."
Bael fruit,သတ်ဗဳ,"(n) quince, bael fruit, Bengal quince."
Bag,ထိုၚ်,"1 (n) bag, [esp.] Shan bag of fabric with shoulder-sling, sack, pocket.    စၟာဲထိုၚ် (v) to carry a Shan bag.    ထိုၚ်အာတရဴ (n) kit bag.    ထိုၚ်ကသဝ်ပ္ကဴ (n) anther. [id] ဂၠံကသဝ်ပ္ကဴ။    ထိုၚ်ကောန် (n) womb. [id] သ္ၚိကောန်၊ ဂဝ်၊ ဂဝ်မိ၊ ဂၠံဂဝ်၊ ဂၠံဂဝ်မိ၊ ထ္ကေၚ်။"
Bag of money,ထိုၚ်သြန်,"(n) bag of money, purse."
Bag.    ပရိုက်ကပေါတ်ကှ်ကှ်  dry measure.    ပရိုက်နဏံမူစိရော  how much will the basket hold?    ပရိုက်ဗ္စတ်မစုတ်လုပ်မွဲဒဂေါၚ်မွဲဇရဳကြ  jarful.  ကရိုက်။     ပြိုက်  to put in,ပရိုက်,"1 (n) contents, capacity, holding capacity as of box, bag.    ပရိုက်ကပေါတ်ကှ်ကှ် (adj) dry measure.    ပရိုက်နဏံမူစိရော (n) how much will the basket hold?    ပရိုက်ဗ္စတ်မစုတ်လုပ်မွဲဒဂေါၚ်မွဲဇရဳကြ (n) jarful. [Cf.] ကရိုက်။    [Der.] ပြိုက် (v) to put in."
Bag.  ထိုၚ်။,ရိုက်,"3 (n) sack, bag. [Cf.] ထိုၚ်။"
Baggage,ကပေါတ်ကညောတ်,"(n) gear, baggage, luggage."
Baggage,စိုက်သွက်,"(n) baggage, luggage. [id] စိုက်ဂွဳ။"
Baggy trousers worn by shan males,ပံၚ်မဳသေံ(မ်),(n) baggy trousers worn by Shan males.
Baggy.  မဖ္ဍံၚ်တိုန်၊ မဖ္ဍံၚ်ဒၟံၚ်၊ မလောံတိုန်။,မဂုဟ်တိုန်,(adj) baggy. [id] မဖ္ဍံၚ်တိုန်၊ မဖ္ဍံၚ်ဒၟံၚ်၊ မလောံတိုန်။
Bahitation.  ဌာန်ဒၟံၚ်၊ ဒၞာဲမံၚ်။,ဒၞာဲမတန်တဴ,(n) bahitation. [id] ဌာန်ဒၟံၚ်၊ ဒၞာဲမံၚ်။
