English,Mon,Original_Definition
Yellow tourmaline,ခုဿရာ,(n) yellow tourmaline.
Yellow varnish tree,ခယာ်,"(n) yellow varnish tree, Garcenia corva Roxburgh yielding gam boge. [id] ဒယာ်(က်)။"
Yellow varnish tree,ဒယာ်,(n) yellow varnish tree.
Yen,ယျိန်,"(n) Yen {Japanese Yen}, The currency of Japanese."
Yes,ကျာ်,"တိုန်ဍုၚ်တ္ၚဲတိၚ်မ္ဂး ခိုဟ်ကျာ်(က်) (v) it will be best if you go to town the day before the Sabbath, Yes, your Reverence, ကျာ်(က်)."
Yes,ယွံ,"1 (adv) yes, also used in beginning a formal address.    ယွံအ္စာအဲဍိက်ကေတ်နၚ်သီုၜါ (adv) yes sir, I have brought both of them."
Yes,အဴ,"(n) sir, madam, lord, used in replying to the call of a superior and at the close of a petition. [ps.] [Bur] standing alone, calls for repetition of utterance, eh? {formal, [esp.] in oratorical style}, final in sent, implies deference between the persons addressed, {Saim} standing alone, acknowledges an utterance, yes, all right."
Yes-manism,ဒးရကျာ်,(v) yes-manism.
Yes.  particle introducing statement or request,အေ,"(adv) yes. [ps.] particle introducing statement or request, with general approbatory colour."
Yesterday,နူတဏေံတေံ,(n) (adv) yesterday.
Yesterday,လက်ကနေံ,(adv) yesterday.
Yesterday mehm chan mon travelled north-west and in consequence fell ill,ထၞီ,နူတဏေံတေံမာံဆာန်မန်အာတရဴဗာယပ်ဍေံထၞီအာ (v) yesterday Mehm Chan Mon travelled north-west and in consequence fell ill.
Yesterday mehm glore travelled north west and in consequence fell ill,ခဏီ,နူကဏေံတေံမာံဂၠောဝ်အာတရဴဗာယပ်ဍေံထၞီအာ (v) yesterday mehm Glore travelled north west and in consequence fell ill.
Yesterday mehm klaw travelled north-west and in consequence fell ill,ထဏီ,နူတဏေံတေံမာံကၠဵု အာတရဴဗာယပ်ဍေံထၞီအာ (v) yesterday Mehm Klaw travelled north-west and in consequence fell ill.
Yesterday the rebels destroyed a section of railway line to mandalay,ဗလီု,နူတဏေံတေံရဲသပုန်တံဗလီုထောံဂၠံၚ်ကွဳပၟတ်ဍုၚ်အၚ်ဝ (v) yesterday the rebels destroyed a section of railway line to Mandalay.
Yesterday the rebels destroyed a section of railway line to mandalay,ဗလိုမ်,နူတဏေံတေံရဲသပုန်တံဗလီုထောံဂၠံၚ်ကွဳပၟတ်ဍုၚ်အၚ်ဝ (v) yesterday the rebels destroyed a section of railway line to Mandalay.
Yesterday.    နူကဏေံတေံ   yesterday.    နူကဏေံဗ္တံတေံ   last night.  လက်ကဏေံ။  ကဏ၊ ကဏိ။,ကဏေံ,1 ကဏေံ(အ်) (n) yesterday.    နူကဏေံတေံ(အ်) (adv) (n) yesterday.    နူကဏေံဗ္တံတေံ(အ်) (adv) (n) last night. [id] လက်ကဏေံ(အ်)။ [Cf.] ကဏ၊ ကဏိ။
Yesterday.  တၞေံ၊ နူတၞေံတေံ။,တဏေံ,တဏေအ် (n) yesterday. [id] တၞေံ(အ်)၊ နူတၞေံတေံ(အ်)။
Yesterday.  တၞေံ၊ နူတၞေံတေံ။,တဏေအ်,(n) yesterday. [id] တၞေံ(အ်)၊ နူတၞေံတေံ(အ်)။
Yesteryears,ခေတ်တြေံ,"(n) the past, yesteryears."
Yet,ဏီ,"(adv) yet, still, up to now."
Yet,နီ,"နိမ် (pv) yet, still, further. [id] ဏီ(မ်)။"
Yield,ခလး,"(v) to be free, unoccupied, free from obstruction, to free, to give up, yield, give birth, to be at leisured, to have leisure, to be empty, vacant. [id] သလး၊ သၠး။"
Yield,ဖျံကဵု,"(v) yield, give in, slacken, pay out."
Yield or who defeated,အကျ,"(n) a person who gives up, surrender, a person who concede, give in, yield or who defeated, flees, runsaway."
Yield up,သၠး,"(v) to be free, unoccupied, free from obstruction, to free, to give up, yield up, be vacant, give birth."
Yielding,ဍိုန်,"(v) to be soft, yielding, flexible, pliant, mild."
Yielding,ပြာဲ,"(v) to be in-adhesive, to be soft, yielding."
Yielding,ပြာယ်,"(v) to be in-adhesive, to be soft, yielding."
Yielding,မှုဲ,"2 မှုယ် (adj) yielding, bending. [id.] သၞုဲ(ယ်)။ [Cf.] ဍိုၚ်။    [Der.] သၟုဲလေၚ် (n) {to be at teenage} age of puberty.    ဍိုန်မှုဲ(ယ်) (adj) soft, render, yielding."
Yielding,မှုဲ,"2 မှုယ် (adj) yielding, bending. [id.] သၞုဲ(ယ်)။ [Cf.] ဍိုၚ်။    [Der.] သၟုဲလေၚ် (n) {to be at teenage} age of puberty.    ဍိုန်မှုဲ(ယ်) (adj) soft, render, yielding."
Yielding,မှုယ်,"2 (adj) yielding, bending. [id.] သၞုဲ(ယ်)။ [Cf.] ဍိုၚ်။    [Der.] သၟုဲလေၚ် (n) {to be at teenage} age of puberty.    ဍိုန်မှုဲ(ယ်) (adj) soft, render, yielding."
Yielding,မှုယ်,"2 (adj) yielding, bending. [id.] သၞုဲ(ယ်)။ [Cf.] ဍိုၚ်။    [Der.] သၟုဲလေၚ် (n) {to be at teenage} age of puberty.    ဍိုန်မှုဲ(ယ်) (adj) soft, render, yielding."
Yielding dammer or resin used in medicine,ဆုကွေံ,"(n) the rock dammar tree, a kind of hard wood tree, Hopea odorata Roxburgh, yielding dammer or resin used in medicine."
Yielding fibre for making cattle ropes,အညာ,"1 (n) small tree found on beaches and tidal forests, yielding fibre for making cattle ropes, sea hibiscus, corkwood, Hibiscus tifiaceus. [id.] ဂ္ညာ။   ဇုက်ဂ္ညာ။ (n) acacia concinna creeper."
Yielding more than hundred baskets per acre,သြောံသ္တိတ်ကၠံပြၚ်,"(n) strain of quick-ripening paddy, yielding more than hundred baskets per acre."
