English,Mon,Original_Definition
Dancer,သၟာသ္ဘၚ်,"(n) performer {esp. for dramatic art} actor, singer, dancer."
Dancing,ဗလှေ်,"(v) to cause to dance. (n) dance, dancing."
Dandruff,ခလှာဒိုၚ်,"(n) scurf, disease of the scalp, dandruff, flakes of dead skin. [esp.] on the scalp that comes off as new skin grows. [Var.] ခလှာဒိုၚ်။ [id] ခူ၊ ဂျတ်။"
Danger,ဒစုက်ဇလသၞ,"(n) danger, source of danger."
Danger,ဘယာ,"(n) [P.] danger, fear."
Danger,ဝဳဝဲ,"(n) danger, clamity."
Danger,သၞသတြု,"(n) danger, harm, enmity, adversary."
Danger,အန္တရာဲ,"(n) [P.] danger, harm, accident, calamity, disaster."
Danger from punishment of king or ruler,ဝိဝဲသၟိၚ်,(n) danger from punishment of king or ruler.
Danger of death,ဘဲဂမ္စိုတ်,(n) danger of death.
Danger of death,မစ္စု,ဘဲမစ္စု (n) danger of death.
Danger.  ဘဲ။  ဝဲ  malice,ဝိဝဲ,"(n) [LF] impending or potential calamity, danger. [Cf.] ဘဲ(ယ်)။ [Der.] ဝဲ (n) malice."
Danger.  ဘဲ။  ဝဲ  malice,ဝိဝယ်,"(n) [LF] impending or potential calamity, danger. [Cf.] ဘဲ(ယ်)။ [Der.] ဝဲ (n) malice."
Dangerously.  နဒဒှ်သွက်သ္ဒးဂွိၚ်က္တဴခိုဟ်။,နဒဒှ်မဒှ်သွက်သ္ဒးဂွိၚ်ဂွာဲခိုဟ်,(adv) dangerously. [id] နဒဒှ်သွက်သ္ဒးဂွိၚ်က္တဴခိုဟ်။
Dangle from.    ဍေံဍံၚ်ဝေၚ်ဇုက်  he is swinging from the creeper.  ဍံၚ်ဍုဲ။,ဍံၚ်,"1 (v) to hang down and swing, hang on to something, dangle from.    ဍေံဍံၚ်ဝေၚ်ဇုက် (v) he is swinging from the creeper. [id] ဍံၚ်ဍုဲ။"
Dare-devil,အကြာန်,"(n) a blindly foolish person, a person who does the work without thinking any things, a rash person, an impetuous man, dare-devil."
Dare-devil,အကြဴ,"(n) a foolish boastful person, blood-thirsty person, dare-devil."
Dare-devil   မကြံဒိုဟ်ဗက်၊  မကြံကြဴ။,dare,"vt. (pt. dared)  ဂံၚ်၊  ဂံၚ်သ္ကာ၊  ဟွံဖေက်၊  ဟွံရောံဓည။  ၂။  ကၠောန်ရံၚ်၊  ထ္ၜေက်မတ်တုဲကၠောန်။  ၃။  ဂၠာဲဆော၊  ဟီုဂးဒဒှ်သတ္တိဟွံမွဲ,အစောံစရာဲဟွံမွဲ။  dare-devil (adj)  မကြံဒိုဟ်ဗက်၊  မကြံကြဴ။"
Dare-devil.  foolhardy,ဒိုဟ်ကြဴ,(v) dare-devil. (adj.) foolhardy.
Dare-devil.  မကြံကြဴ။,မကြံဒိုဟ်ဗက်,(adj) dare-devil. [id] မကြံကြဴ။
Dare-may-care person,အကြိုန်,"(n) a recalcitrant person, dare-may-care person."
Daring,ဂံၚ်,"(v) to be brave, bold, daring, presumptuous, to venture."
Daring,အစောံသတ္တိ,"(n) bravery, ability, power, daring, courage, prowess. [id.] ကြဳဇှ်သတ္တိ။"
Daringly,ချိုတ်ချိုတ်ဂျိုၚ်ဂျိုၚ်,"(adv) daringly, fearlessly."
Daringly,ဗွဲမဂံၚ်သ္ကာ,"(adv) daringly, hardily, manfully, boldly, bravely. [id] ဂၟံၚ်၊ နဒဒှ်မဒှ်အရာဖေက်ဂွဟွံမွဲ၊ နဒဒှ်မဟၟဲကဵုဖေက်ရောံဓည၊ သီုမဂံၚ်သ္ကာ။"
Dark,ဂၠုၜေက်,"(adj) dark, pitch-dark."
Dark,တမြံၚ်,"1 (n) hardeness, ripeness. [Cf.] တရံၚ်။ [Der.] ကြံၚ် (v) to be hard, partly ripe, dark."
Dark,ပရံၚ်,"3 (n) hardness, ripeness. [Cf.] တရံၚ် (n) labial form of ကြံၚ် (v) to be hard, partly ripe, dark."
Dark blue colour,သာ်ချီု,(n) dark blue colour.
Dark brown colour,အရံၚ်ယောဂဳ,(n) dark brown colour.
Dark green,လ္စံက်ဍာပ်ဍဴ,(v) dark green.
Dark green.  လမ္စံက်ဍိုပ်ဍဴ၊ လမ္စံက်တ္ၜောံ၊ လမ္စံက်တ္ၜေံ၊ လမ္စံက်ၝေံ။,လမ္စံက်သ္ၚေက်,(adj) dark green. [id.] လမ္စံက်ဍိုပ်ဍဴ၊ လမ္စံက်တ္ၜောံ(ဟ်)၊ လမ္စံက်တ္ၜေံ(အ်)၊ လမ္စံက်ၝေံ(အ်)။
