English,Mon,Original_Definition
Wait for,မၚ်,"6 (v) to wait, wait for, remain in one place, watch {for, over}, lie in wait for, guard, to observe, to take care of. [id] ဆေၚ်၊ မၚ်လဇ။    အဲမၚ်နာဲကၠဵုစိုပ် (v) I am waiting  for Nai Klaw to arrive.    စဵုကဵုဗှေ်စိုပ်အဲမၚ်မံၚ် (v) I am waiting till you arrive.    ညးကဵုမၚ်မွဲဗီုဇၞော် (v) they have put the commanding  officer under guard.    ပ္ဍဲခံက်ဍာ်မၚ်မံၚ် (v) water lies in the compartments of the paddy fields.    ရံၚ်စံၚ်မၚ်မွဲ (v) to keep an eye on.    လ္ပဂွိၚ်အဲမၚ်သ္ၚိ (v) do not  worry, I will take after the house. [Cf.] ပၟၚ် (n) guardian."
Wait here,မၚ်ဒၞာဲဏံ,(v) wait here.
Wait on  hand and food,အုဲဗဂုဲကၠောန်ၜိုတ်,(v) wait on {a revered person} hand and food.
Waiter,တြုံအုဲခွး,(n) waiter.
Waiter,နိဟ်,"မၞိဟ်ပလေဝ်လ္ဗံက် (n) table servant, waiter."
Waiter,မၞိဟ်ပလေဝ်ဂပံက်,"(n) table servant, waiter."
Waitress.  ဗြဴစုတ်ပလေဝ်ပလေတ်စပ္ဍဲသ္ၚိဇၞူ။,ဗြဴအုဲခွး,(n) waitress. [id] ဗြဴစုတ်ပလေဝ်ပလေတ်စပ္ဍဲသ္ၚိဇၞူ။
Wake up from a stretch of sleep,ဗရှ်,ၚုဟ်တိုန်မွဲဗရှ် (n) wake up from a stretch of sleep.
Wake up from a stretch of sleep,ဗရဟ်,ၚုဟ်တိုန်မွဲဗရှ် (n) wake up from a stretch of sleep.
Wake up.    ဟွံၚုဟ်ဏီ  he is not awake yet.  ပ္ၚုဟ်  to rouse,ၚုဟ်,"1 (v) to wake, wake up.    ဟွံၚုဟ်ဏီ (v) he is not awake yet. [Der.] ပ္ၚုဟ် (v) to rouse."
Wake တေံညိ။,woke,ရံၚ် wake တေံညိ။
Wakeful.  မနွံဒၟံၚ်ကဵုသ္တိဗလ။,မဟွံသၠိၚ်,(adj) wakeful. [id] မနွံဒၟံၚ်ကဵုသ္တိဗလ။
Walk back and forth,ကွာ်စၚ်ကြံ,(v) walk back and forth.
Walk crouched,ဂၠုက်,"(v) to duck, walk crouched, to go stooping. [Cf.] ခစိုၚ်၊ ဂၠောန်။"
Walk out for pleasure.  ကြေဝ်ဝေၚ်။    ကြေဝ်သွံ  to hawk,ကြေဝ်,"1 (v) walk out for pleasure. [id] ကြေဝ်ဝေၚ်။    ကြေဝ်သွံ(အ်) (v) to hawk, peddle.    ဂေတ်ကြေဝ်ဝေၚ် (v) to walk round."
Walk shoulder to shoulder,ဗျာၚ်,"(v) to keep in line, walk shoulder to shoulder, to be together, to be abrest."
Walk single file,ကွာ်ဂၠောဲ,"(v) to walk in Indian file, walk single file."
Walk up and down to attract attention,ခြေံဂၠံၚ်,"(v) parade, walk up and down to attract attention."
Walk with a stagger,ကွာ်ဂဲါ,"(v) walk with a stagger, to walk with the swinging, bent kneed gait of a yoke-porter ဒလေၚ်။ [id] ကွာ်ဂဲါဝဲါအာ။"
Walk-over.  ပြဝမဂွံကၠုၚ်ပရေၚ်အံၚ်ဇၞးဟိုတ်နူမဟၟဲကဵုမၞိဟ်ပြိုၚ်ပ္ကာန်။,ပြဝမအံၚ်ဇၞးဗွဲမလောဲသွာ,(n) walk-over. [id] ပြဝမဂွံကၠုၚ်ပရေၚ်အံၚ်ဇၞးဟိုတ်နူမဟၟဲကဵုမၞိဟ်ပြိုၚ်ပ္ကာန်။
Walking,စာရ,"(n) [P.] giving, working, walking, going."
Walking in the garden gives them pleasure,သၠိၚ်,ဂေတ်ဝေၚ်ကၠံဂှ်ဒှ်ဖဵုသၠိၚ်စိုတ်ညးတံ(အ်) (v) walking in the garden gives them pleasure.
Walking stick,လေံကပတ်,(n) walking stick.
Walking stick,လေံဒုက်,"(n) cudgel, staff, walking stick."
Walking stick.    လေံဇြုံလ္ပကဵုကဝ်ချိုတ်    in a way to let neither party suffer.  ဂစုန်၊ ဇဵု၊ တဝ်၊ ဒန်၊ ရိ။,လေံ,"3 လေအ် (n) stick, rod, walking stick.    လေံဇြုံလ္ပကဵုကဝ်ချိုတ် (adv) {proverb} {decide, act} in a way to let neither party suffer. [Cf.] ဂစုန်၊ ဇဵု(ဝ်)၊ တဝ်၊ ဒန်၊ ရိ။"
Walking-stick,ဒစုန်,"(n) staff, crutch, walking-stick, the walking-stick of an old man."
Walking.    အဲဟွံမိက်ဍိုက်ကွဳ အဲကွာ်ကၠုၚ်တိုက်ဏောၚ်  i do not want to ride,တိုက်,"2 (n) walking.    အဲဟွံမိက်ဍိုက်ကွဳ အဲကွာ်ကၠုၚ်တိုက်ဏောၚ် (v) I do not want to ride, I will walk.    အာတိုက် (v) to go no foot.    ကွာ်တိုက် (v) to walk.    ပၞာန်တိုက်။"
Wall,တမာၚ်,"1 (n) wall, of brick or stone. [id] တၟာၚ်။ [Cf.] ဒဒၚ်။"
Wall of brick or stone.  ကၟာၚ်။  ဒဒၚ်။    ကၟာၚ်ဍုၚ်  city wall,ကမာၚ်,1 (n) wall of brick or stone. [id] ကၟာၚ်။ [Cf.] ဒဒၚ်။    ကၟာၚ်ဍုၚ် (n) city wall.
Wall of brick or stone.  ဗဗၚ်၊ ဒဒၚ်၊ ဗ္ဒၚ်။,လၟာၚ်,(v) wall of brick or stone. [Cf.] ဗဗၚ်၊ ဒဒၚ်၊ ဗ္ဒၚ်။
Wall of city.  ကၟာၚ်ဍုၚ်၊ ဇဵုဍုၚ်။,ကၟာၚ်,တၟာၚ်ဍုၚ် (n) wall of city. [id] ကၟာၚ်ဍုၚ်၊ ဇဵုဍုၚ်။
Wall of fencing around a religious structure,အရှာံ,"(n) [P. armo] an enclosure around any religious building, wall of fencing around a religious structure, precincts, enclosure of sacred building."
Wall or railing other than main external wall.  ခါန်ဇဳ။  ကၟာၚ်၊ ခဒၚ်၊ ထ္ကဲပြေၚ်၊ ထပေဝ်၊ ဖဒၚ်၊ ဗဒၚ်။,ဒဒၚ်,"(n) {wall or partition of} twilled texture made from bamboo strips, wall or railing other than main external wall. [Syn.] ခါန်ဇဳ။ [Cf.] ကၟာၚ်၊ ခဒၚ်၊ ထ္ကဲပြေၚ်၊ ထပေဝ်၊ ဖဒၚ်၊ ဗဒၚ်။"
Wall or railing other than main external wall.  ဖ္ဒၚ်။,ဖဒၚ်,"(n) {wall or partition of} twilled texture made form bamboo strips, wall or railing other than main external wall. [id] ဖ္ဒၚ်။"
Wall or railing other than main external wall.  ဗ္ဒၚ်။,ဗဒၚ်,"(n) {wall or partition of} twilled texture made from bamboo strips, wall or railing other than main external wall. [id] ဗ္ဒၚ်။"
Wall plate of house,ဓမြိပ်ကၞိ,"(n) wall plate of house, runner of boat."
Wall plate of house,ဗရိပ်ကၞိ,"(n) wall plate of house, runner of boat."
Wall plate.  ခအိုအ်၊ စိၚ်  ဓၟၚ်။  ခၞ၊ ထၞ၊ ဒရိပ်ကၞဳ၊ ဒေၚ်။,သၞ,"1 (n) timber supporting ends of rafters, wall plate. [Cf.] ခအိုအ်၊ စိၚ် (n) ဓၟၚ်။ [Syn.] ခၞ၊ ထၞ၊ ဒရိပ်ကၞဳ၊ ဒေၚ်။"
Wall plate.  ခၞ၊ ထၞ။  ခမၚ်၊ စိၚ်၊ ထအိုံ။  ဒြိပ်ကၞဳ၊ ဒေၚ်။,ခဏ,"1 (n) timber supporting ends of rafters, wall plate. [id] ခၞ၊ ထၞ။ [Cf.] ခမၚ်၊ စိၚ်၊ ထအိုံ(အ်)။ [Syn.] ဒြိပ်ကၞဳ၊ ဒေၚ်။"
Wall plate.  ခၞ၊ သၞ။,ထၞဒဒၚ်,(n) wall plate. [Var.] ခၞ၊ သၞ။
Wall round,စဵုဗိုၚ်,"(v) to enclose, wall round."
Wall round well,ဗိုၚ်,3 (n) wall round well.
Wall socket,ပထောၚ်ပၠက်,(n) wall socket.
Walled in space under house,ကောန်တာဲ,"(n) crop watcher’s shelter, walled in space under house, used for domestic purposes."
Walled palace grounds,မြုနန်,(n) walled palace grounds.
Wallet.  ထိုၚ်လၟာဲ၊ ထိုၚ်ကၟာဲ။,ထိုၚ်စၟာဲ,"(n) Shan bag, clothe sling bag, wallet. [id] ထိုၚ်လၟာဲ၊ ထိုၚ်ကၟာဲ။"
Wallich gum or wood oil obtained from this,သြာန်,"(n) black wood oil, black varnish tree, Melanorrhoea usitata, wallich gum or wood oil obtained from this."
Wallow,ကြိုပ်,"(adj.) indifferent of life, wallow."
Wallow in .  တ္ၜူမာဲ။,ၜူမာဲ,"(v) be tipsy, be drunk, to be intoxicated, to be dizzy, to be intoxicated {with power, with pride}, wallow in {the lap of luxury}. [Var.] တ္ၜူမာဲ(ယ်)။"
Wallow of buffalo,ခၠိုၚ်ပြေၚ်,(n) wallow of buffalo.
Wallow.    ဗဒိုပ်အခံၚ်ပြေၚ်  buffalo wallow,ခအံၚ်,"1 (n) grazing ground, pasture, range, wallow.    ဗဒိုပ်အခံၚ်ပြေၚ် (n) buffalo wallow."
Wallow.  ဖဲါ၊ ဖဲါဗလေတ်၊ ဝေၚ်ခၠန်။,ခၠန်,"(v) to leave, to set aside, leave out, leave behind, wallow. [id] ဖဲါ၊ ဖဲါဗလေတ်၊ ဝေၚ်ခၠန်။"
Wallplate.  ထၞ။  စိၚ်၊ ထအိုအ်၊ ဓၟၚ်။  ခၞ၊ ဒေၚ်၊ ဒြိပ်ကၞိ။,ထဏ,"2 (n) timber supporting ends of rafters, wallplate. [id] ထၞ။ [Cf.] စိၚ်၊ ထအိုအ်၊ ဓၟၚ်။ [Syn.] ခၞ၊ ဒေၚ်၊ ဒြိပ်ကၞိ။"
Wander,ကဝိုအ်,"ကဝိုံ(အ်) (v) wander, go about aimlessly."
Wander,ဂေတ်ဂၚေၚ်,"(v) to go round, move from place to place, travel around, wander, roam. [id] ဂေတ်ဂပဝ်။"
Wander,ပှ်လှ်,"(v) {of mind} be unstable, wander, be a vagrant, tramp."
Wander,အကြၚ်,"(n) a person who is going for place to place, circles, travels around, roams, wander, a person who goes around here and there."
Wanderer,မၞိဟ်ဂေတ်ဝေၚ်အာကၠုၚ်,(n) wanderer.
Wandering religious mendicant,ပြဘာတ်,"(n) [P. Pariobajako] wandering religious mendicant, a pilgrim. [id] ဒၟုၚ်ဒါန်ဂေတ်အာတ်စ။"
Waning moon,ဂိတုစွေက်,"(n) waning moon, second half of month culminating in ဂိတုအိုတ်။"
Waning of the moon.   wane,စွေက်,2 (n) waning of the moon. (v) {of the moon} wane.
Wanitng nothing.  ဇဳဇပ်။,မဟၟဲကဵုယုတ်ဒေက်,(adj) wanitng nothing. [id] ဇဳဇပ်။
Wanly.  နဒဒှ်မဖျိုဟ်ဖျေဟ်၊ နဒဒှ်မဟဳလှီု။,ဖျိုဟ်ဖျိုဟ်ဖျေတ်ဖျေတ်,(adv) wanly. [id] နဒဒှ်မဖျိုဟ်ဖျေဟ်၊ နဒဒှ်မဟဳလှီု(မ်)။
Want,ဂဒေက်,"(v) give something in return, turn back, falter, want, need, lack, require."
Want,ပၟိက်,"(n) desire, wish, need, want, purpose."
Want to break wind,ဆုတ်တိတ်,"(v) to go backwards, (v) want to break wind."
Wanting,ယုတ်ဒေက်အာ,"(v) to be deficient, wanting, less than."
Wanting,ဝိကလ,"(adj) [P.] defective, wanting."
Wanting in nothing,သွက်သ္ဒးဟီုဟွံမွဲ,"(prep) nothing to be desired, wanting in nothing."
Wanting in sense,ဂဒေက်ပြဒ္ညာ,"(v) to be lacking of education, wanting in sense, stupid."
Wanting intelligence,မနွံပၟိက်ကဵုဗဟုအညာ,(adj) wanting intelligence.
Wanting nothing,ဇဳဇပ်,(v) wanting nothing.
Wanting nothing,ဇဳအရဳ,ဇဳဇပ် (v) wanting nothing.
Wanting.  မဂဒေက်၊ မနွံကဵုပၟိက်ဖိုဟ်၊ မယောၚ်၊ မယုတ်ဒေက်၊ မဟၟဲကီုလေဝ်၊ ဝိကာလ,မဒေက်,(adj) wanting. [id] မဂဒေက်၊ မနွံကဵုပၟိက်ဖိုဟ်၊ မယောၚ်၊ မယုတ်ဒေက်၊ မဟၟဲကီုလေဝ်၊ ဝိကာလ
Wanton or disloyal to one’s spouse,ချေံ,"1 (v) be mischievous, unrestrained, be faithless, wanton or disloyal to one’s spouse."
Wantonness,ဒဒှ်မလီုဒ္ဂေတ်ပွ,(n) wantonness.
War,ပၞာန်,"(n) army, war, state of war."
War,ဘဲပၞာန်,(n) {the calamity of} war.
War,ယုဒ္ဓ,"(n) [P.] war, conflict. [id.] ယုဒ္ဓနကာ။"
War boat,ဂၠုၚ်ဆလာက္ၜၚ်,"(n) war boat, state boat, a kind of war boat."
War boat,ဂၠုၚ်သရာဲ,(n) war boat.
War like display,သေနၚ်္ဂဗျုဟ,"(n) war like display, art of war. [id.] သေနၚ်ဗျူဟာ။"
War of aggression,ပၞာန်ခလိုၚ်လောန်,(n) war of aggression.
War worn,မစိုပ်ဒၟံၚ်ကဆံၚ်ပၞာန်လ္ၚိုပ်လ္ၚာလၟောၚ်လၟေတ်,(adj) war worn.
War.  ပၞာန်။,နာန်,"(n) {colloq} army, war. [id] ပၞာန်။"
