English,Mon,Original_Definition
Minerals,ရတ်တိ,"(n) minerals, mineral resources."
Mingle,နှဴ,"ဟုဲနှဴ (v) to mix, mingle, associate with. [Cf.] ဆက်၊ ထုဲ၊ ပံၚ်၊ ဖက်၊ ဟုဲ။ [Der.] သၞဴ (v) to mix together."
Mingle,သၞဴရာ,"(v) to be mixed, mingled, mingle, mix."
Mingled,နှဴ,"သၞဴရဴ (v) to be mix, mingled, ingredients, to associated."
Mingled,ရဴ,"3 (v) သၞဴရဴ (v) to be mixed, mingled."
Mingled,သၞဴရာ,"(v) to be mixed, mingled, mingle, mix."
Miniature cymbals operated with one hand.  ခဍေဝ်၊ ဆ္ဍေဝ်။  ဆာၚ်။  ထ္ဍေဝ်။,ခ္ဍေဝ်,1 (n) miniature cymbals operated with one hand. [id] ခဍေဝ်၊ ဆ္ဍေဝ်။ [Cf.] ဆာၚ်။ [Var.] ထ္ဍေဝ်။
Miniature cymbals operated with one hand.  ခ္ဍေဝ်၊ ဆ္ဍေဝ်။  ဆာၚ်။  ထ္ဍေဝ်။,ခဍေဝ်,1 (n) miniature cymbals operated with one hand. [id] ခ္ဍေဝ်၊ ဆ္ဍေဝ်။ [Cf.] ဆာၚ်။ [Var.] ထ္ဍေဝ်။
Miniature cymbals operated with one hand.  တ္ဍေဝ်၊ ဆာၚ်။,တဍေဝ်,1 (n) miniature cymbals operated with one hand. [Cf.] တ္ဍေဝ်၊ ဆာၚ်။
Miniature cymbals operated with one hand.  ထ္ဍေဝ်။  ဆာၚ်။,ထဍေဝ်,1 (n) miniature cymbals operated with one hand. [id] ထ္ဍေဝ်။ [Cf.] ဆာၚ်။
Minibus,ကွဳစက်ဍောတ်ဍောတ်,(n) minibus.
Minibus,ကွဳစက်သၟတ်,"(n) minibus, dodgem cars."
Minister,အမာတ်,"(n) [Skt. amatya] minister, king’s minister or chief companion."
Minister ,ဝန်ဇၞော်,(n) minister {cabinet}.
