English,Mon,Original_Definition
Adj.  ဒဒှ်မဇၞော်ဒုတ်တဴပ္ဍဲမအရေဝ် ၊  မဟီုဂးဂလာန်ဍောတ် ဂလာန်ဇၞော်။,sententious,adj.  ဒဒှ်မဇၞော်ဒုတ်တဴပ္ဍဲမအရေဝ် (ဂလာန်လဟီု)၊  မဟီုဂးဂလာန်ဍောတ် ဂလာန်ဇၞော်။
Adj.  ဒဒှ်မွဲမွဲအလန်၊  မဒှ်မွဲမွဲဗလး၊  မဒှ်မွဲတုဲမွဲ။  vt. vi.  သကဵုဒှ်နကဵုအလန်။,alternate,adj.  ဒဒှ်မွဲမွဲအလန်၊  မဒှ်မွဲမွဲဗလး၊  မဒှ်မွဲတုဲမွဲ။  vt. vi.  သကဵုဒှ်နကဵုအလန်။
Adj.  ဒဒှ်လ္ပာ်လက်ဗၠိုက်။  ၂။  ဒဒှ်လ္ပာ်လက်ဗတး။  ၃။  မဒှ်လ္ပာ်အပ္ဍဲ။  n.  လ္ပာ်ဒစဵုဒစး၊  လက်ဗၠိုက်၊  လက်ဗတး။  ၂။  လ္ပာ်စး။  vt.  ဗတးထောံလက်ဗၠိုက်။  ၂။  သကဵုအာလက်ဗၠိုက်။  ၃။  ကၠောန်လက်ဗတး လက်ဗၠိုက်။  ၄။  ပဲါပလီုထောံ ။  reverse order.   ပဋိလုံ။  reversal   ဒဒှ်မသကဵုအာလက်ဗၠိုက်။  reversible   မသ္ပလက်ဗၠိုက် လက်ဗတးဂွံ၊  မဗတးထောံဂွံ။,reverse,"adj.  ဒဒှ်လ္ပာ်လက်ဗၠိုက်။  ၂။  ဒဒှ်လ္ပာ်လက်ဗတး။  ၃။  မဒှ်လ္ပာ်အပ္ဍဲ။  n.  လ္ပာ်ဒစဵုဒစး၊  လက်ဗၠိုက်၊  လက်ဗတး။  ၂။  လ္ပာ်စး(ဗွိုက်လ္တက်,သြန်တၚ်္ကာ,တဆိပ်)။  vt.  ဗတးထောံလက်ဗၠိုက်။  ၂။  သကဵုအာလက်ဗၠိုက်။  ၃။  ကၠောန်လက်ဗတး လက်ဗၠိုက်။  ၄။  ပဲါပလီုထောံ (ဝၚ်သ္ဂုတ်သွာတ်, အသံ)။  reverse order. (adj)  ပဋိလုံ။  reversal (n)  ဒဒှ်မသကဵုအာလက်ဗၠိုက်။  reversible (adj)  မသ္ပလက်ဗၠိုက် လက်ဗတးဂွံ၊  မဗတးထောံဂွံ။"
Adj.  ဒပ်ယာ၊  မကျဝ်ပလေဝ်လဝ်သွက်ဂွံလုပ်ပေဲါဗ္တိုက်၊  မသိုၚ်ခၞံလဝ်ဂဒုက်သွက်ဂွံလုပ်ပေဲါဗတိုက်။,embattled,adj.  ဒပ်ယာ၊  မကျဝ်ပလေဝ်လဝ်သွက်ဂွံလုပ်ပေဲါဗ္တိုက်၊  မသိုၚ်ခၞံလဝ်ဂဒုက်သွက်ဂွံလုပ်ပေဲါဗတိုက်။
Adj.  ဒမၠိ၊  နိစ္စ၊  မဒှ်ဒၟံၚ်တွဵု၊  မဒှ်ဒၟံၚ်လၟိုန်။  ၂။  မတန်ကြန်ဒၟံၚ်ဗွဲမဗိုန်ဗတ်ခိုၚ်ကၠိုက်၊  မဒှ်သဒှ်သစ္စနွံဒၟံၚ်ဗိုန်ဗိုန်၊  မဟွံဒစေၚ်ဗၠေၚ်အာ။  constantly   တွဵု၊  လၟိုန်၊  ဟွံပိုတ်ဟွံပိုတ်။,constant,adj.  ဒမၠိ၊  နိစ္စ၊  မဒှ်ဒၟံၚ်တွဵု၊  မဒှ်ဒၟံၚ်လၟိုန်။  ၂။  မတန်ကြန်ဒၟံၚ်ဗွဲမဗိုန်ဗတ်ခိုၚ်ကၠိုက်၊  မဒှ်သဒှ်သစ္စနွံဒၟံၚ်ဗိုန်ဗိုန်၊  မဟွံဒစေၚ်ဗၠေၚ်အာ။  constantly (adv)  တွဵု၊  လၟိုန်၊  ဟွံပိုတ်ဟွံပိုတ်။
Adj.  ဒိပ်၊  မဒုၚ်လံ၊  မစွံဒုၚ်။,imperishable,adj.  ဒိပ်၊  မဒုၚ်လံ၊  မစွံဒုၚ်။
Adj.  ဒေါဗၞုဟ်၊  မနွံကဵုစိုတ်ကၠိခန်၊  မနွံကဵုဓာတ်စိုတ်စှ်ေစှ်ေ၊  မနွံကဵုဓာတ်စိုတ်လီုလီု၊  မခအ်မအ်၊  မခံမံသိၚ်သာ။  dejection   ဒဒှ်မဒှ်ဒေါဗၞုဟ်။,dejected,adj.  ဒေါဗၞုဟ်၊  မနွံကဵုစိုတ်ကၠိခန်၊  မနွံကဵုဓာတ်စိုတ်စှ်ေစှ်ေ၊  မနွံကဵုဓာတ်စိုတ်လီုလီု၊  မခအ်မအ်၊  မခံမံသိၚ်သာ။  dejection (n)  ဒဒှ်မဒှ်ဒေါဗၞုဟ်(မၞုဟ်)။
Adj.  ဒှ်ဗီုပြၚ်လက်သန်ကြံၚ်က္ဍုဟ်ဗျုထဴ၊  မကလေၚ်ပၠန်ဗီုကောန်ၚာ်ဍောတ်ဍောတ်၊  မပေက်တောံကၠုၚ်။  senility   ဒဒှ်မဒှ်ဗီုပြၚ်လက်သန်ကြံၚ်ဍုဟ်ဗျုထဴ၊  ဒဒှ်မပေက်တောံကၠုၚ်၊  ဒဒှ်မဗျု။,senile,adj.  ဒှ်ဗီုပြၚ်လက်သန်ကြံၚ်က္ဍုဟ်ဗျုထဴ၊  မကလေၚ်ပၠန်ဗီုကောန်ၚာ်ဍောတ်ဍောတ်၊  မပေက်တောံကၠုၚ်။  senility (n)  ဒဒှ်မဒှ်ဗီုပြၚ်လက်သန်ကြံၚ်ဍုဟ်ဗျုထဴ၊  ဒဒှ်မပေက်တောံကၠုၚ်၊  ဒဒှ်မဗျု။
Adj.  ဒၠိ၊  နိစ္စ၊  မဟွံထပိုတ်ထောံတၞုၚ်၊  မဒှ်ထာဝရ၊  မဟွံပိုတ်ဒကုတ်။  perpetually   နဒဒှ်မဟွံပိုတ်သ္ကုတ်။  perpetuate   သကဵုနွံသွက်သ္ဂောံစၟတ်သမ္တီ၊  သကဵုတန်တဴအာလၟိုန်ထာဝရ။  perpetuity   ဒဒှ်မတန်ဒၟံၚ်လၟိုန်ထာဝရ။,perpetual,adj.  ဒၠိ၊  နိစ္စ၊  မဟွံထပိုတ်ထောံတၞုၚ်၊  မဒှ်ထာဝရ၊  မဟွံပိုတ်ဒကုတ်။  perpetually (adv)  နဒဒှ်မဟွံပိုတ်သ္ကုတ်။  perpetuate (vt)  သကဵုနွံသွက်သ္ဂောံစၟတ်သမ္တီ၊  သကဵုတန်တဴအာလၟိုန်ထာဝရ။  perpetuity (n)  ဒဒှ်မတန်ဒၟံၚ်လၟိုန်ထာဝရ။
Adj.  ဓဇန်၊  မဓဇန်၊  ကြံကြ၊  မကြံကြ၊  မယုတ်မာ၊  မတ္ၚံက်တ္ၚေဲ။,heinous,adj.  ဓဇန်၊  မဓဇန်၊  ကြံကြ၊  မကြံကြ၊  မယုတ်မာ၊  မတ္ၚံက်တ္ၚေဲ။
