English,Mon,Original_Definition
Rafter.  ထအိုံ။  စိၚ်၊ ထၞ၊ ဒေၚ်၊ ဓၟၚ်။,ဇအိုံ,ဇအိုအ် (n) rafter. [id] ထအိုံ(အ်)။ [Cf.] စိၚ်၊ ထၞ၊ ဒေၚ်၊ ဓၟၚ်။
Rafters of a house.  ဖ္အိုအ်။  ခအိုအ်၊ စိၚ်၊ ဇအိုအ်၊ ထ္အိုအ်၊ ထၞ၊ ဒေၚ်၊ မေၚ်။,ဖအိုအ်,(n) rafters of a house. [id] ဖ္အိုအ်။ [Cf.] ခအိုအ်၊ စိၚ်၊ ဇအိုအ်၊ ထ္အိုအ်၊ ထၞ၊ ဒေၚ်၊ မေၚ်။
Rafting permit to float down logs,လိက်ဖဳ,"(n) rafting permit to float down logs, bamboos, etc. Permit to transport certain goods, interdepartmental letter."
Ragamuffin.  သၟတ်မနွံကဵုဗွိုက်လ္တက်စာ်စာ်မှာ်မှာ်။,မၞိဟ်မနွံကဵုဗွိုက်လ္တက်စာ်စာ်မှာ်မှာ်,(n) ragamuffin. [id.] သၟတ်မနွံကဵုဗွိုက်လ္တက်စာ်စာ်မှာ်မှာ်(က်)။
Ragged,မစာ်မှာ်ဒၟံၚ်,"(adj) ragged, tattered. [id] မနွံကဵုကဆံၚ်မစူတိုန်မတသောဝ်စှေ်၊ မဟွံညဳသာ။"
Rags from a dust heap.  ပံသကူ၊ ပံသက္ကူ။,ပံၚ်သကူ,"(n) [P. pamsukulam] discarded property, rags from a dust heap. [id] ပံသကူ၊ ပံသက္ကူ။"
Rags from dust heap ,ပံၚ်သကူ,"ဇံၚ်ပံၚ်သကူ (n) [P. pamsukula] artificial tree hung with money for presentation to monks, rags from dust heap {form which monastic robes were traditionally made}."
Rahu,ရာဟု,"(n) [LF] [Skt.] astro, Rahu, ascending node of the moon, name of an Asura who causes eclipses, a dark planet believed to cause eclipses."
Rahula’s father,အံက်ရာဟုလ,"(n) Rahula’s father, the Buddha."
Raider.  က္ၜၚ်၊ က္ၜၚ်ကျာမလုပ်ဗ္တိုက်ချိုန်လွာဲဂှ်၊ မၞိဟ်လုပ်ဗ္တိုက်ချိုန်လွာဲဂှ်။,မၞိဟ်လုပ်ဗ္တိုက်ပ္ဍဲမွဲဖရေပ်မတ်,(n) raider. [id.] က္ၜၚ်၊ က္ၜၚ်ကျာမလုပ်ဗ္တိုက်ချိုန်လွာဲဂှ်(ဟ်)၊ မၞိဟ်လုပ်ဗ္တိုက်ချိုန်လွာဲဂှ်(ဟ်)။
Rail,ဂၠံၚ်ပ္သဲ,"(n) railway, rail, railroad {Am}."
Rail at,ဂဟုက်,"(v) to threaten, scold sharply, rail at, berate, to be vexed, to be annoyed. [id] လဟုက်။"
Rail at,ထလန်,"(v) ထညက်ထလန် (v) to grumble, scold sharply, rail at, berate."
Railing.  ဗလဲတၞိန်။,ဗလာဒပ်,(n) railing. [id] ဗလဲတၞိန်။
Raillery,ပွမပျိုၚ်ထ္ဍုတ်ဓၟက်,(n) raillery.
Railroad ,ဂၠံၚ်ကွဳပၟတ်,"(n) railway, railway line, track, railway train, railroad {US}."
Railroad ,ဂၠံၚ်ပ္သဲ,"(n) railway, rail, railroad {Am}."
Railway,ကွဳပၟတ်,ဂၠံၚ်ကွဳပၟတ် (n) railway.
Railway,ဂၠံၚ်ကွဳပၟတ်,"(n) railway, railway line, track, railway train, railroad {US}."
Railway,ဂၠံၚ်ပ္သဲ,"(n) railway, rail, railroad {Am}."
Railway car,တဲကွဳပၟတ်,"(n) railway carriage, railway car."
Railway carriage,တဲကွဳပၟတ်,"(n) railway carriage, railway car."
Railway carriage.    ကေန်တဲ  little finger.    ကံတဲ  wrist.    ကြာတ်တဲ  to wash one’s hands.    ကွတ်တဲ  fist.    ဂတာဲတဲ  palm.    ဂဒဳတဲ  part of hand between wrist and base of fingers.    ဃံက်တဲ  wrist.    ဇုတ်နော်တဲ  shoulder-blade.    တကေန်တဲ  finger.  တ္ၚေန်တဲ။    တၚ်တဲ  elbow.   တံၚ်တဲ  to shake hands.    တၞုၚ်တဲ  finger.    တွဵုတဲ  arm,တဲ,"1 တယ် (n) upper limb, hand, arm, forelegs, tributary, dependency, railway carriage.    ကေန်တဲ (n) little finger.    ကံတဲ (n) wrist.    ကြာတ်တဲ (v) to wash one’s hands.    ကွတ်တဲ (n) fist.    ဂတာဲတဲ (n) palm.    ဂဒဳတဲ (n) part of hand between wrist and base of fingers.    ဃံက်တဲ (n) wrist.    ဇုတ်နော်တဲ (n) shoulder-blade.    တကေန်တဲ (n) finger. [id] တ္ၚေန်တဲ။    တၚ်တဲ (n) elbow.   တံၚ်တဲ (v) to shake hands.    တၞုၚ်တဲ (n) finger.    တွဵုတဲ (n) arm, forearm.    ထာၚ်တဲ (n) upper arm.    ထပ်တဲ (n) to get married.    ပ္တဴတဲ (v) to hold up one’s hands.    ပသာၚ်တဲ (n) part of hand between wrist and base of fingers.    သ္ပာတဲ (n) back of hand.    သွာၚ်တဲ (n) armpit.    ၝောံတဲ (n) thrumb.    တဲဍေံကဝ်အာ (v) his arm was broken."
Railway coach or wagon,ခဒံကွဳပၟတ်,(n) railway coach or wagon.
Railway engine,ကွဳပၟတ်,"က္ဍိုပ်ကွဳပၟတ် (n) locomotive, railway engine."
Railway engine.  က္ဍိုပ်စက်။  က္ဍိုပ်စက်ဒဇက်ကွဳပၟတ်။,က္ဍိုပ်ကွဳပၟတ်,"(n) locomotive, railway engine. [Syn.] က္ဍိုပ်စက်။ [id] က္ဍိုပ်စက်ဒဇက်ကွဳပၟတ်။"
Railway line,ဂၠံၚ်ကွဳပၟတ်,"(n) railway, railway line, track, railway train, railroad {US}."
Railway station,ရုၚ်ကွဳပၟတ်,(n) railway station.
