English,Mon,Original_Definition
Paddle for stirring rice while cooking,ဂၞော်,"(n) paddle for stirring rice while cooking, hood of cobra. [id] ဒၞော်(က်)၊"
Paddle for stirring rice while cooking.  ဒၞော်၊ ဒၞံက်။,နော်,2 နောက် (n) paddle for stirring rice while cooking. [id] ဒၞော်၊ ဒၞံက်။
Paddle for stirring rice while cooking.  ဒၞော်၊ ဒၞံက်။,နောက်,2 (n) paddle for stirring rice while cooking. [id] ဒၞော်၊ ဒၞံက်။
Paddle.  ကသု၊ တသု။,လသု,(n) paddle. [Var.] ကသု၊ တသု။
Paddle.  ကသု၊ လသု။,တသု,(n) paddle. [Cf.] ကသု၊ လသု။
Paddle.  တသု။,သျု,(n) paddle. [Cf.] တသု။
Paddling crabs,ဖံၚ်,"2 (n) paddling crabs, a species of small sea crabs which are washed ashore by the tide."
Paddy,သြောံ,"(n) paddy, standing crop of paddy, unhusked grain of rice plant."
Paddy,သြောအ်,"(n) paddy, standing crop of paddy, unhusked grain of rice plant."
Paddy bird,ပံက်,"1 (n) paddy bird, white paddy bird, crane, egret, Egretta alba modesta Gray and Egarzetta L.    ဂစေံပံက် (n) egret."
Paddy bund.  ဇိုၚ်ဗၞၚ်။  ဗၞၚ်  threshing-floor.  ဗၞၚ်။,ဂၞၚ်,ဇုက်ဗၞၚ် (n) paddy bund. [id] ဇိုၚ်ဗၞၚ်။ [Der.] ဗၞၚ် (n) threshing-floor. [Var.] ဗၞၚ်။
Paddy farmer.  ရဲၚ။,ရဲဗ္ၚ,"(n) cultivator, paddy farmer. [Cf.] ရဲၚ။"
Paddy field,တိဗ္ၚ,"(n) land under cultivation field, land for cultivation, paddy land, paddy field, land used for rice cultivation, earth from the field, rice land. [id] ၚ၊ ဗ္ၚ၊ ဝါဗ္ၚ၊ ဂူယာဝါဗ္ၚ။"
Paddy field,ဝါဗ္ၚ,(n) paddy field.
Paddy field left unused because of its inability to retain water,တိတဝ်,"(n) paddy field on a high ground, paddy field left unused because of its inability to retain water."
Paddy field on a high ground,တိတဝ်,"(n) paddy field on a high ground, paddy field left unused because of its inability to retain water."
Paddy field which has been worked for many years.  တိတၟိ။,တိတြေံ,(n) paddy field which has been worked for many years. [opp.] တိတၟိ။
Paddy grain left strewn on a cart carrying paddy sheaves,ဆီသြောံ,(n) paddy grain left strewn on a cart carrying paddy sheaves.
Paddy husk,ဂဗိုက်ကာံ,(n) paddy husk.
Paddy kept aside for own consumption,သြောံဗုၚ်ဂၞဴ,(n) paddy kept aside for own consumption.
Paddy land,တိဗ္ၚ,"(n) land under cultivation field, land for cultivation, paddy land, paddy field, land used for rice cultivation, earth from the field, rice land. [id] ၚ၊ ဗ္ၚ၊ ဝါဗ္ၚ၊ ဂူယာဝါဗ္ၚ။"
Paddy land allowed to lie follow,တိအရိုၚ်,"(n) virgin soil, paddy land allowed to lie follow."
Paddy land which is no longer productive,တိလီု,"(n) abandoned paddy field, paddy land which is no longer productive."
Paddy of varieties yielding glutinous rice,ပလေၚ်,"သြောံပလေၚ် (n) glutinous rice plant, paddy of varieties yielding glutinous rice, labial form of ကၠေၚ် (v) to be oily."
Paddy plant,တၞံသြောံ,"(n) paddy plant, rice paddy."
Paddy plot enclosed by dykes.    ဇိုၚ်နၚ်  seasonally flooded hollow,ခံက်,"1 (n) compartment of rice field demarcated by bunds, paddy plot enclosed by dykes.    ဇိုၚ်နၚ် (n) seasonally flooded hollow, small hole or hollow in which water lies, a small plat or ground in a paddy field. [id] ဇုက်ဗၞၚ်။"
Paddy-field enclosed by dykes.  ခံက်ၚ။,ခံက်ဗ္ၚ,"(n) compartment of rice field, paddy-field enclosed by dykes. [id] ခံက်ၚ။"
Padlock.  သ္ၚိက္သံ။,ၝောံက္သံ,"(n) lock, padlock. [Syn.] သ္ၚိက္သံ(အ်)။"
Pagan,ဍုၚ်ဗကာံ,(n) Pagan.
Pagan hill man practising slash-and-burn cultivation,ဝ,"2 (n) Wa, Lawa, pagan hill man practising slash-and-burn cultivation, a race of northern Burma and Siam formerly noted head hunters. They are closed by Mon writers, with the Karens as a people of more rudimentary culture, name of one of the Mon-Khmer language and its speakers found mainly in areas east of the Salween river in the Shan State.    ကရေၚ်ဝ (n) Karens and Wa."
Pagan.  ဗ္ကာံ။,ဗကာံ,2 (n) (place-name) Pagan. [id] ဗ္ကာံ(မ်)။
Pagan.  ဗ္ကာံ။,ဗကာမ်,2 (n) (place-name) Pagan. [id] ဗ္ကာံ(မ်)။
Paganism,ဒဒှ်မဟၟဲကဵုဘာသာ,(n) paganism.
Pagoda,ကျာ်,"(n) sacred being or thing, Buddha, pagoda, image of Buddha, term of address terminating all utterances directed to monks when no other such term is included, and as isolate inticating assent, (Siam) general respectful term of address and assent."
Pagoda,စေတဳ,"(n) Buddhist relic-shrine, stupa, pagoda."
Pagoda,သထူပ,"(n) [Skt.] relic shrine, cetiya, pagoda."
Pagoda festival,ဝိုၚ်ဗ္ဒိုပ်ကွဳ,"(v) bullock carts camped in a circle at fairground, market, pagoda festival, etc."
Pagoda festival,သ္ဘၚ်ကျာ်,(n) pagoda festival.
Pagoda festival.  ပေဲါ။  သ္ဘၚ်။,ဘၚ်ကျာ်,(n) pagoda festival. [Cf.] ပေဲါ(ယ်)။ [Var.] သ္ဘၚ်။
Pagoda festival.  ပေဲါ။  သ္ဘၚ်။,အဘၚ်,သဘၚ်ကျာ် (n) pagoda festival. [Cf.] ပေဲါ။ [Var.] သ္ဘၚ်။
Pagoda festival.  သ္ဘၚ်ကျာ်။,လ္ဘၚ်ကျာ်,(n) pagoda festival. [id.] သ္ဘၚ်ကျာ်(က်)။
Pagoda tree,စမ္ပာဗ္တာၚ်,"(n) frangipani, pagoda tree, Plumeria acutifolia Poiret."
Pail,စေဝ်ပ္သဲ,"(n) tin, bucket, pail, iron barrel or drum."
Pail,ဍေၚ်ဖွက်,"(n) pail, bucket."
Pain,ဂျိ,"(n) poison, venom, pain, upas tree, Antiaris toxicaria Leschenault."
Pain,ဒဒိုက်,"(n) [P. dukkham] pain, trouble, affliction, suffering, misery, exiguous circumstances, poverty."
Pain,ဒုက္ခ,"(n) [P] pain, misery, suffering, trouble."
Pain,ဓဒိုက်,"(n) trouble, affliction, suffering, misery, exiguous, circumstances, poverty, pain."
Pain from the lash.  ဂျိသရဒွဵု။,ဂျိသရဂွဵု,(n) pain from the lash. [id] ဂျိသရဒွဵု။
Pain in the muscles of the lower part of the back,ယဲဂၞိၚ်ဂိ,"(n) lumbago, pain in the muscles of the lower part of the back, caused by rheumatism."
Pained look,ထညောန်ဗြေက်,"(v) pained look, wear a disgusted look."
Painful.  မသ္ကဵုဂိ၊ မသ္ကဵုစိုတ်ဂိအာ။,မသ္ကဵုဂိသ္ကေဝ်,(adj) painful. [id] မသ္ကဵုဂိ၊ မသ္ကဵုစိုတ်ဂိအာ။
Painfully,နဒဒှ်မဂိက္တာန်,(adv) painfully.
Painless,မဟၟဲကဵုဂိက္တာန်,(adj) painless.
Painlessly,နဒဒှ်မဟၟဲကဵုဂိက္တာန်,(adv) painlessly.
Painstaking,မဒုၚ်ဒဒိုက်,(adj) painstaking.
Painstakingly.  ဒုၚ်ဒဒိုက်တုဲ။,နဒဒှ်မဒုၚ်ဒဒိုက်,(adv) painstakingly. [id] ဒုၚ်ဒဒိုက်တုဲ။
Paint,ချူ,"2 (v) to write, to draw, paint, engrave.    ဗှ်ဂှ်လေဝ်ဗှ်ဟွံလေပ် ချူဂှ်လေဝ်ချူဟွံလေပ် (v) he can neither read nor write.    မာံခဂှ်ပ္ဍဲဂိတုဒဳဇြဳဗာဏံ ဍေံကေတ်တ္ၚဲသၠးဏောၚ် ဍေံချူကဵုနၚ်လိက် (v) Mehm Kha says in his letter that he is taking his holiday in December.    ရုပ်ဏံညးဂှ်ချူရော (v) who drew this? [Cf.] ကှ်ေ။    [Der.] ကသူ (n) writing, painting."
Paint,ချူဒဇက်,"(v) draw, paint, draw up schemes, plans, law, etc."
Paint,ဂအုဲ,ဍာ်ဂဥုဲ (n) paint.
Paint,ဍာ်ဂဥုဲ,"(n) paint, liquid pigment."
Painted porcelain spoon of chinese pattern,ဇန်အပြံက်,"(n) porcelain spoon, painted porcelain spoon of Chinese pattern, earthenware spoon. [id] ဇန်တိုက်။"
Painted stork,ဒိုၚ်ကၞု,"(n) openbill, Anastomus oscitans, painted stork, Ibis leucocephalus leucocephalus Pennaut, pelicanibis."
Painted.  စိစီု။,စိစုံ,"(v) to be complete. (adj) variegated, painted. [id] စိစီု။"
Painter,ကသူ,အ္စာကသူ (n) painter.
Painter,ခဳ,"2 (n) ပါန်ခဳ (n) painter, artist."
Painter,ပါန်ခဳ,"(n) art of painting, painting, painter, painter of a picture. [id] အ္စာပါန်ခဳ၊ ပါန်ခေန်တခဳ။"
Painter of a picture.  အ္စာပါန်ခဳ၊ ပါန်ခေန်တခဳ။,ပါန်ခဳ,"(n) art of painting, painting, painter, painter of a picture. [id] အ္စာပါန်ခဳ၊ ပါန်ခေန်တခဳ။"
Painter.  အ္စာကသူ။,အ္စာပါန်ခဳ,"(n) artist, painter. [id.] အ္စာကသူ။"
Painter.  အ္စာပါန်ခဳ၊ မၞိဟ်ဒဇက်ကသူ၊ မၞိဟ်ဒဇက်ပါန်ခဳ။,အ္စာကသူ,(n) painter. [id.] အ္စာပါန်ခဳ၊ မၞိဟ်ဒဇက်ကသူ၊ မၞိဟ်ဒဇက်ပါန်ခဳ။
Painting,ကသူ,"(n) writing, painting."
Painting,ချူ,"2 (v) to write, to draw, paint, engrave.    ဗှ်ဂှ်လေဝ်ဗှ်ဟွံလေပ် ချူဂှ်လေဝ်ချူဟွံလေပ် (v) he can neither read nor write.    မာံခဂှ်ပ္ဍဲဂိတုဒဳဇြဳဗာဏံ ဍေံကေတ်တ္ၚဲသၠးဏောၚ် ဍေံချူကဵုနၚ်လိက် (v) Mehm Kha says in his letter that he is taking his holiday in December.    ရုပ်ဏံညးဂှ်ချူရော (v) who drew this? [Cf.] ကှ်ေ။    [Der.] ကသူ (n) writing, painting."
Painting,ချူလံက်ဗီု,"(v) to paint a picture. [Cf.] ကှ်ေ။ [Der.] ကသူ (n) writing, painting."
Painting,ပါန်ခဳ,"(n) art of painting, painting, painter, painter of a picture. [id] အ္စာပါန်ခဳ၊ ပါန်ခေန်တခဳ။"
Painting.  တၞးဗီုရုပ်ပါန်ခဳ၊ တၞးကသူ၊ ဒဒှ်မဒဇက်ကသူပါန်ခဳ။,ကသူပါန်ခဳ,"(n) decorative arts, painting. [id] တၞးဗီုရုပ်ပါန်ခဳ၊ တၞးကသူ၊ ဒဒှ်မဒဇက်ကသူပါန်ခဳ။"
Pair,ဇုၚ်,"(n) pair, couple, brace {of dogs, game birds}, set, both of the pair."
Pair,ယမက,"(n) [P.] duo, pair, couple."
Pair,လ္ၚဝ်,"(n) yoke, pair {of bullocks} couple, pair."
Pair,အၚဝ်,"(n) pair, couple. [id.] အ္ၚဝ်။ [Cf.] စုံ၊ ဆော။ [Var. perf.] ဒၚောဝ်။"
Pair  couple,လ္ၚဝ်,"(n) yoke, pair {of bullocks} couple, pair."
