English,Mon,Original_Definition
I am going ot moulmein to sell the rice,အာ,အဲအာသွံသ္ၚုပ္ဍဲဍုၚ်မတ်လမၠီု(မ်) (v) I am going ot Moulmein to sell the rice.
I am going out to do the shopping,ရာန်,အဲအာရာန်ဖျာ (v) I am going out to do the shopping.
I am going to cousin,ဟီု,"အာရကလော၊ ဟီု(မ်) (v) say, I am going to cousin."
I am going to have this out with them,ဂြဲ,အာဂြဲကဵုဍေံတံဏောၚ် (v) I am going to have this out with them.
I am going to look for the hen,ဂၠာဲ,အဲဂၠာဲဗက်စာၚ် (v) I am going to look for the hen.
I am going to massage your back,ဗကပ်,"ဗ္ကပ်ဇကုဗှေ်အဲလိုန်စးဗှေ်ဏောၚ် (v) turn over, I am going to massage your back."
I am in the habit of taking a stroll round the village every evening,အခိုက်,အဲဒှ်ဒၟံၚ်အခိုက်ေဂတ်ကွာန်ရိုဟ်သဝ်တ္ၚဲ (n) I am in the habit of taking a stroll round the village every evening.
I am inviting my cousin to a meal.  နမန်၊ နိမန်။,ဘိက်,အဲဘိက်ဗ္စပုၚ်ကဵုကလော (v) I am inviting my cousin to a meal. [Cf.] နမန်၊ နိမန်။
I am just going to lavatory.  shows durative aspect usually embracing or extending up to,မံၚ်,"7 (v) to remain, to stay, continue in a place or state, live, reside, to remain quiet, to tarry, to dwell, to be.    အ္စာပလေဝ်နာဍဳဗ္ဂပ်မံၚ်စက်နာဍဳ (v) the watch repairer is putting the works together.    အရေဝ်ရဲဂဒဵုဟီုဂှ်ရဲခၠိုၚ်ကၠိုဟ်မံၚ်စိုတ်ဟာ (v) do Roa Khamiung {Bilugyun people} understand the speech of Roa Kaday {Kado people}   အဲဂၠာဲမံၚ်ဗှေ်လံကွေံရ (v) I have been looking for you for a long time?    အဲစိုပ်မံၚ်အဏံမသုန်သၞာံလောန်ကၠုၚ်တုဲဣရ (v) it is five years since I  came here.    ကောန်ၚာ်ဏံမံၚ်ကွေံညိဟွံလရိုအ် (v) your baby is ver quiet, he does not cyr at all.    ဇို်ၚ်ဍေံဂိမံၚ်ကၠဵုကိတ်လဝ် (v) he has a bad leg, a dog bit it.    ဍေံမံၚ်ဟွံမိပ် (v) he is not well. [id] ဍေံမံၚ်စဟွံခိုဟ်။    ဍေံသ္ဒးဒုၚ်မံၚ်ဘဲၚေက်ဂိအ္စာ (v) he is suffering from toothache, sir.    ဍေံဟုံမံၚ်ဍာ် (v) he was having his bath.    တိခိုဟ်လေဝ်တိတ်မံၚ်ကီုရ (v) on good land you do get that much yield.    တုဟ်မိဟ်ကဵုအးမံၚ် (v) scrub the dirt till he is clean.    နူဂယးသ္ဒးဍုန်မံၚ်ပုၚ် (v) I shall be cooking the dinner in the morning.    ဗှေ်တံမံၚ်မိပ်စမိပ်မံၚ်ရဟာ (v) are you all in good health?    ဗှေ်မံၚ်အဏံကၠာ အဲအာသ္ၚိဍာ်မွဲလစုတ်ဏီ (v) you stay here a minute or two, I am just going to lavatory. [as va.] shows durative aspect usually embracing or extending up to, to point out time, rarely generic.    ဗှေ်မံၚ်အဏံလံမံၚ်ရဟာ (v) have you been living here long.    မိကဵုအဲဂၠိုၚ်မံၚ်ဂှ် (v) you have given me a lot, Mummy.    မာန်မံၚ်ရ (v) they keep on winning.    မၞိဟ်ယဲမံၚ်ဂှ်ခိုဟ်အာဣရဟာ (v) are the  sick man has recovered? [Syn.] ခိုဟ်အာ၊ ခိုဟ်တိုန်။    လ္ပဖျေံမံၚ်ဇကုဗှေ်ဂၠိုၚ်ဂှ် (v) do not spend too much time making yourself look nice.    သွက်တၟုဲအာကၠုၚ်ဂွံမံၚ်ဖျေံလဝ်သ္ၚိကျာခိုဟ်ခိုဟ် (v) make the veranda look nice so that our guests can use it. Occasionally this aspect applies to the result of the act specified. [Cf.] ထတ်ယုက်။ [Cf.] first sense, တဴ၊ သ္ပဒတဴ၊ သ္ပဒတန်။    [Der.] ဒၟံၚ် (n) dwelling place.    ဗၟံၚ် (v) to house."
I am little uncertain.  သၚ်္ကာ၊ သၠေဟ်။,ခၚ်ခ,စိုတ်ခၚ်ခနွံမံၚ်ညိ (v) I am little uncertain. [Cf.] သၚ်္ကာ၊ သၠေဟ်။
