English,Mon,Original_Definition
Fact that,အခၚ်,"1 (n) fact that, fact of being.   အခၚ်စိုပ်ဣတေံဟွံတီ (n) this fellow did not know that he had arrived.   အခၚ်ညးကၠုၚ်အဲဟွံတီ (n) I don’t know that he will com."
Fact.    တ္ၚဲဏံဂွံတီခါန်ဍေံဇှ်  i heard today that he had malaria.  အခၚ်၊ ဒဒှ်၊ ပရိုၚ်၊ ပရော။,ခါန်,2 (n) fact.    တ္ၚဲဏံဂွံတီခါန်ဍေံဇှ် (n) I heard today that he had malaria. [Cf.] အခၚ်၊ ဒဒှ်၊ ပရိုၚ်၊ ပရော။
Factionalist,ရဲပါ်ဂိုန်,"(n) sectarian, factionalist."
Factor,ကိုန်ပါ်ကဵုအဆ,(n) {maths} factor.
Factor matter about an event,လိက်ပရေၚ်,(n) factor matter about an event.
Factors which bring about prospering and wellbeing,စက်သမ္ပတ္တိ,(n) factors which bring about prospering and wellbeing.
Faculty of perception and cognition which forms one of the five aggregates constituting a being,သညာက္ခန္ဓာ,(v) [P.] faculty of perception and cognition which forms one of the five aggregates constituting a being.
Faculty to comprehend the teaching of the buddha,ပဋိဝေဓ,"(n) comprehension of abstruse, concepts, activity of mind, faculty to comprehend the teaching of the Buddha."
Faculty to recall past existences,ပုဗ္ဗနိဝါသညာန်,(n) faculty to recall past existences.
Faddy,မပ္တန်ဗဒှ်တၟေၚ်တၟေၚ်,(adj) faddy.
Fade,ဟဲဇး,"(v) to be faded, to lose strength, fade, become faint, lose lustre."
Fade from memory,ဝိုတ်ကၠေံ,"(v) fade from memory, think no more of."
Faded,ဖျိုဟ်,"2 (adj) grey, pale, faded, light {colour}.    (v) relax."
Faded,ဖျိုဟ်ပြေတ်,(v) faded.
Faded or withered,က္ဍုဟ်ယောပ်,"(adj.) old, faded or withered."
Faeces,ကၞေံ,"ကၞေံ(အ်) 2 (n) see ကဏေံ(အ်) (n) yesterday, faeces."
Faeces,အသုဘ,"2 (n) [LF, polite] faeces, impurity. [id] အိက်၊ ကၞေံ(အ်) ခၠိုက်၊ တရဴဇၞော်၊ ဒဒှ်မကၠိပပ်၊ ဒဒှ်မတ္ဍိုက်လ္ၚေၚ်၊ ဒဒှ်မဟွံအးၚး။"
Faeces,အိက်,"(n) excrement, faeces, dung, interest, [in phr.] excretion, waste product. [Cf.] အသုဘ၊ ကၞေံ(အ်)၊ ဝဲါ။"
Faeces.  ကၞေံ။    ကၞေံစုတ်  defecate.  အိက်စုတ်၊ အိက်ထောံ။  အသုဘ၊ အိက်။     ဝဲါ  excrement,ကဏေံ,"2 ကဏေံ(အ်) (n) faeces. [id] ကၞေံ(အ်)။    ကၞေံစုတ် (v) defecate. [Syn.] အိက်စုတ်၊ အိက်ထောံ(အ်)။ [Cf.] အသုဘ၊ အိက်။    [Var.] ဝဲါ(ယ်) (n) excrement, fertilizer, manure."
Faggot,မိန်,"2 (n) armful, bundle, faggot"
Fagraea fragrans,တၞံဂနာၚ်,"(n) a kind of hard wood tree, Fagraea fragrans."
Fagraea fragrans roxburgh,အနာၚ်,(n) Fagraea fragrans Roxburgh.
Fagraea fragrans.  တၞံဂနာၚ်။,တၞံအနာၚ်,"(n) an anaing tree {a kind of large hard timber tree, yielding fragrant yellow flower}, Fagraea fragrans. [id] တၞံဂနာၚ်။"
Fail,ကျ,"(v) to be defeated, beaten (by), to lose (to), fail (examination), be defeated (in battle, sport and games), lost (in business, game, match, legal case, etc)."
Fail in a venture.  ဒပ်ထောဲကလေၚ်။,ဒပ်ဆုတ်ကလေၚ်,"(n) retreat in defeat, fail in a venture. [id] ဒပ်ထောဲကလေၚ်။"
Fail in examination,ကျစှ်ေ,"(v) be defeated in a contest, fail in examination."
Fail in one's duty,ယောၚ်,"(v) to turn from one's course, to go astray, fail in one's duty, to be wanting, to swerve, to turn aside."
Fail to notice,ပေၚ်မတ်,"(v) fail to notice, over look. [id] တၟိုဟ်မတ်။"
Fail to see something through oversight.  ကလိၚ်စ။,မတ်လုဲအာ,"(v) mistake some body or something for another, fail to see something through oversight. [id] ကလိၚ်စ။"
Failing sight,ခပါ,ယဲမတ်သ္ပာ (n) failing sight.
Failing sight,ယဲမတ်သ္ပာ,"(n) failing sight, dimness of vision."
Failing.  ပၞေတ်၊ ပၞေတ်သရ။,တၚ်မယုတ်ဒေက်,(n) failing. [id] ပၞေတ်၊ ပၞေတ်သရ။
Failure,ဓဝ်ဝိပတ္တိ,"(n) law of destruction, misfortune, failure."
Failure,ဝိပတ္တိ,"(n) [P.] misfortune, failure."
Failure.  ဒဒှ်မကျဟောံအာ၊ ဝိပတ္တိ။,ပွမကျအာ,(n) failure. [id] ဒဒှ်မကျဟောံအာ၊ ဝိပတ္တိ။
Faint,ဝိုတ်,"2 (v) to forget, leave behind, omit to do, to lose consciousness, faint, putting away, avoidance.    အရေဝ်အဲဗ္ကန်လဝ်ကဵုဗှ်ေဂှ်ဗှ်ေလ္ပဝိုတ်ထောံ(အ်) (v) do not forget the instructions I gave you.    အဲဆောဝ်လံဟွံဝိုတ်ဗှ်ေ(ဟ်) (v) I shall never forget you.    အဲဗိုတ်စဍိုၚ်အဲပ္ဍဲဖျာ (v) I left my umbrella in the market.    ဂဥုဲဝိုတ် (v) anaesthetic.    ဒတုံစှ်ေနူတၞံဆုတုဲဝိုတ်အာၜါနာဍဳ (v) after falling from the tree, he was unconscious for two hours.    ဒဒိုက်သီုဖ္အိုတ်တံဂှ်ဝိုတ်ထောံညိ (v) forget all your troubles.    သွက်ဂွံဘိက်အဲလ္ပဝိုတ်ညိ (v) do not forget to invite me. [Cf.] ကၠိုဟ်တိုန်မၞိဟ်။ First sense, လလုဲ(ယ်)။ [Syn.] ချိုတ်သ္ၚဳ၊ လဝိုတ်၊ သ္ၚဳ၊ သ္ၚိတ်အာ။"
Faint,ဝိုတ်သ္တိ,"(v) to be negligent, forget, faint, lose consciousness."
Faint,ဝိုတ်ဟဳသ္ပဝ်,"(v) be coma, faint, be unconscious."
Faint,ဟဳ,"1 (v) faint, lose consciousness, sink into a coma.    ဟဳမံၚ် (v) be in a coma."
Fainthearted,ဂြိုဟ်ဟွံမွဲ,"(v) have mixed feelings of fear, excitement and suspense, cowardly, fainthearted."
Fainting,ပရိုက်ချိုတ်,"(n) swooning, fainting."
Faintly,ဒဗုၚ်ဒဗုၚ်,"(adv) hazy, dim, misty, hazily, dimly, faintly, vaguely, indistinctly."
Faintly,လေဲလေဲ,"(adv) {of sound} faintly, indistinctly."
Faintly,ဟွံကၠးဖ္ဍး,(adv) faintly.
Fair,ဒးရး,"2 (v) to be eminently suitable, be proper, to be well, to be right, agree with, get on well, be acceptable, be passable, fair."
Fair,ပတာၚ်,"(adj) white, fair, white colour. [id] ဗ္တာၚ်။"
Fair,ပေဲါပၠထ္ၜး,"(n) exhibition, show, fair."
Fair,ဖျာဲပေဲါ,(n) fair.
Fair-mindedness,သမစိတ္တ,(n) [P.] fair-mindedness.
Fair-weather friend,ကျဒြိပ်ဒဴဇၞးဗက်စ,(prov.) fair-weather friend.
Fairness,ဓဝ်သၟိၚ်စှ်ပြကာ,"(n) the ten precepts incumbent on a king. [viz.] (1) Charity, (2) Religious practice, (3) Benefaction, (4) Fairness, (5) Gentleness, (6) Keeping Sabbath, (7) Benevolence, (8) Avoidance of cruelty, (9) Patience, (10) Avoidance of conflict."
Fairness of mind or attitude,သမာဓိ,"(n) [P.] concentration of mind, probity, integrity, fairness of mind or attitude."
Fairy,ပိၚ်သာ,"(n) [P. pisaco] demon, fairy, elf or goblin, sprite. [id] ပိၚ်သာတ်။"
Fairy. အဆေဝ်သွဝ်ဗြဴ   ကိန္နရဳ၊ ကောန်အိန်၊ ကောန်ဒေဝတဴ။,အဆေဝ်သွဝ်,"(n) [Skt, apsaras] celestial nymph, nymph, fairy. အဆေဝ်သွဝ်ဗြဴ (n) [Skt, acehava] ကိန္နရဳ၊ ကောန်အိန်၊ ကောန်ဒေဝတဴ။ [id. Var.]"
Faith,ဓဝ်ပတှ်ေ,"(n) faith, belief."
Faith,လျုၚ်သ္ဍိုက်စိုတ်,(v) faith.
Faith,သစ္စ,"1 (n) [P.] truth, faith, veracity, loyalty, fidelity, truth as opposed to falsehood. [id.] သစ္စာ။"
