English,Mon,Original_Definition
Handsome,ဒးရး,"3 (adj.) good looking, handsome, becoming, proper, suitable. [id] ဂပ်ဂဝ်၊ ဆာန်လာန်။"
Handsome,မြီ,"(v) to be pretty, handsome."
Handsome,မြီဆာဲ,"(v) to be pretty, handsome, arrayed, adorned. [id.] မြီညှာ၊ မြီသ္ဇုၚ်။ [Der.] မြီသ္ဘဳ (v) to take care of, to attend."
Handsome,ရး,"3 (v) expletive in ဒးရး (v) to be eminently, suitable, handsome."
Handsome,ရုပ်ကျေဝ်ဂေါဝ်,"(adj) pretty, good looking, handsome."
Handsome,ဝါမ,"(adj) [P.] beautiful, good, handsome."
Handy,မနွံပ္ဍဲတဲ,"(adj) {anyone or anything} at hand, handy, convenient."
Handy,မလုပ်ကေၚ်ကာ,"(adj) handy, accessible."
Handy.  မလုပ်ကေၚ်ကာ။,မဂတာပ်တဲ,(adj) handy. [id] မလုပ်ကေၚ်ကာ။
Hang,ပဂၚ်,"(v) hang, hook up."
Hang down,ခစုၚ်,(v) hang down.
Hang down,တကဲ,"(v) to trail, hang down, to let down. [id] တ္ကဲ၊ လ္ကဲ၊ ကျာဲစှ်ေ၊ ခညံက်စှ်ေ၊ တ္ကဲစှ်ေ။"
Hang down one’s head.   ခညက်စှ်ေ။,ဂွမုက်ဂဝထ္ကး,(v) hang down one’s head. (adv) [id] ခညက်စှ်ေ။
Hang down.  လ္ကဲ။,လကဲ,"(v) to trail, hang down. [id.] လ္ကဲ(ယ်)။"
Hang heavy on the mind,စိုတ်ဇြိုၚ်,"(v) be heavy at heart, hang heavy on the mind, have a premonition. [id] စိုတ်သ္ဇိုၚ်။"
Hang heavy on the mind,ဇြိုၚ်,"1 (v) to be heavy, to be weighty, abstruse, profound, to be extreme in degree.    အရေဝ်တၠဂုန်ဇြိုၚ် (v) His Reverence’s speech is abstruse.    က္တောဝ်ဇြိုၚ် (v) to be hard of hearing.    ကွာ်စဇြိုၚ်ဇြဲကွေံ (v) he walks in a very lumbering manner.    စိုတ်ဇြိုၚ် (v) to be abstracted, hang heavy on the mind, have a premonition.    တလာဏံဇြိုၚ်ကွေံအဲထ္ၜၚ်ဟွံမာန် (v) this box is so heavy I cannot lift it.    ဍာ်လက်ဖက်ဏံဍာတ်ဇြိုၚ် (v) this tea is over-sweet.    သွဏံၜဵုဇြိုၚ်ကွေံ (v) this curry is very salt.    ဟီုဇြိုၚ်ဇြိုၚ်ဇြိုဟ်ဇြိုဟ် (v) he talks very learnedly. [Cf.] ဇြိုဟ်။ [opp.] သာ။    [Der.] လယိုၚ် (n) weight, responsibility. [id] လျိုၚ်။"
Hang it on the back of the chair,ခၜက်,ထ္ၜက်လဝ်လ္တူစးခုၚ် (v) hang it on the back of the chair.
Hang it on the back of the chair,ထၜက်,ထ္ၜက်လဝ်လ္တူစးခုၚ် (v) hang it on the back of the chair.
Hang it on the back of the chair,ပၜက်,ပၜက်လဝ်လ္တူစးခုၚ် (v) hang it on the back of the chair.
Hang it on the back of the chair,လ္ၜက်လဝ်လ္တူစးခုၚ်,(v) hang it on the back of the chair.
Hang it on the chair,ဗဂၚ်,ဗ္ဂၚ်လဝ်လ္တူခုၚ်ဂ္ဇံ (v) hang it on the chair.
Hang loose,ကလာဲ,"(v) to come loose, hang loose, to unbind, let down. [id] တလာဲ။"
Hang on closely,စ္ဍံၚ်,"(v) to cling to, hang on closely."
Hang on to something,ဍံၚ်,"1 (v) to hang down and swing, hang on to something, dangle from.    ဍေံဍံၚ်ဝေၚ်ဇုက် (v) he is swinging from the creeper. [id] ဍံၚ်ဍုဲ။"
Hang over,လ္ၜက်မာ်,(v) hang over.
Hang up,မာ်,"3 (v) to hook, catch with a hook, hang up, to catch with a fish spear. [id] ကွက်၊ ထွက်၊ မာ်ကွက်၊ မာ်ချိက်၊ မာ်ဗ္ဂၚ်၊ သွက်။    ဂၟာ်(က်) (v) to paddle towards gunwale so as to bring  head  of canoe  round to port. [Cf.] second sense, ဂၠဟ်၊ လ္ဂူသၞေဝ်။"
