English,Mon,Original_Definition
Journey,တြဴ,"1 (n) journey, way, road, route.    အာတြဴ (v) to go on a journey.    အာတြဴသၟတ် (v) to go and urinate. [id] အာတြဴဍောတ်။    ဂၠံၚ်တြဴကွာန်ယိုက် (n) the way to Kwanyuig.    ပိုဲဇူမံၚ်ဒေါဝ်တြဴဍုၚ် (n) we ware resting on the way into town.    ပၠတြဴ (v) to show theway.    ပၠးတြဴ (v) to extend the journey.    ဘာ်တြဴ (n) halfway."
Joviality,ဒဒှ်မနွံကဵုညာန်က္တဵုဝေၚ်ဂရိုၚ်,(n) joviality.
Joy,ဒဒှ်မအိုတ်တၟိုဟ်,"(n) joy, happiness."
Joy,ပသာတ်,"(n) [P. pasado] brightness, joy, serenity of mind, feeling of great happiness. [id] ပသာတ်စိုတ်။"
Joy,ပဳတိ,"(n) [P.] joy, delight, euphoria."
Joy,မိပ်,"1 (n) happiness, joy, enjoyment.    မိပ်စိုတ် (v) be glad, be happy, rejoice, be elated.    ကာလဂှ်ကောန်ၚ္ၚာ်ဂမၠိုၚ် သီုကဵုမိပ်စိုတ်တက်တဲသေဲသေဲ(ယ်) (v) then all the boys together clapped their hands for joy.    စကဵုမိပ် (n) good appetite!"
Joy,သောမနဿ,"(n) joy, gladness. [Cf.] ဒေါမနဿ။"
Joy and gladness,ပဳတိပါမောဇ္ဇ,"(n) [P.] joy and gladness, happiness. [id] ပဳတိမောဇ္ဇ၊ ပဳတိပါမတ်၊ ဒဒှ်မဒှ်လၟုဟ်စိုတ်၊ လၟုဟ်စိုတ်၊ သုခ။"
Joy that come like a sudden shock,ပဳတိမသုန်သာ်,"(n) the five kinds of joy, namely, slight joy, momentary joy, joy that come like a sudden shock, transporting joy and all pervading joy."
Joyful,မနွံကဆံၚ်သွက်ဂွံမိပ်ဇြိပ်ခိုဟ်,(adj) joyful.
Joyful,အိုဟ်တၟိုဟ်စိုတ်,"(adj.) joyful, happy."
Joyfully,သီုမအိုဟ်တၟိုဟ်,(adv) joyfully.
Joyfully.  ဆောဝ်လံ၊ နဒဒှ်မနွံကဵုအရာမမိပ်ဇြိပ်က္ဍိုက်က္ဍိုက်ပေၚ်ပေၚ်၊ အိုဟ်တၟိုဟ်၊ သီုမအိုဟ်တၟိုဟ်။,ဆံလံ,"(adv) when, joyfully. [id] ဆောဝ်လံ(အ်)၊ နဒဒှ်မနွံကဵုအရာမမိပ်ဇြိပ်က္ဍိုက်က္ဍိုက်ပေၚ်ပေၚ်၊ အိုဟ်တၟိုဟ်၊ သီုမအိုဟ်တၟိုဟ်။"
Joyous,မတၟုဲတဴကဵုသွက်သ္ဂောံမိပ်ဇြိပ်,(adj) joyous.
Joyously,မိပ်မိပ်ဇြိပ်ဇြိပ်,"(v) joyously, happily."
Jroap,ဇြပ်,"(n) wayside public rest-house, rest-house build on sacred premises, public rest-house, rest-house, building, shelter, with open sides, erected for use of travelers at monastery or pagoda or by roadside, often also used as parish hall, jroap, dharamsala. {place-name}. ဇြပ်ဗု (n) Jroap Bu {Bur. Thanphyujarat}."
Jubilation,ဒဒှ်မမိပ်ဇြိပ်ဒံၚ်ထလာ်,(n) jubilation.
Judge,ဂကိုပ်ဗ္စာ,(n) judge.
Judge,တလ,တၠသၞောဝ် (n) judge.
Judge,ထကိုပ်,ထ္ကိုပ်သ္စာ (n) judge.
Judge,ဒဂူ,"(v) to be straight, to be straightforward, to be opposite, simple, to be honest, righteous, upright, judge, to be tame, to keep straight."
Judge,သ္ကိုပ်သ္စာ,(n) judge.
Judge.  ဖျေံအသံ။,ဗစာ,သ္ကိုပ်ဗ္စာ (n) judge. [Cf] ဖျေံအသံ(မ်)။
