English,Mon,Original_Definition
Quality,ရဟ်,"(n) flavour scent, odour, quality."
Quality of evoking feelings of revulsion,ဝဳဘစ္ဆရသ,(n) {thet} quality of evoking feelings of revulsion.
Quality of inducing laughter,ဟဿရသ,"(n) {rhet} humour, quality of inducing laughter."
Quantifier for books,အုပ်,"3 (n) volume or separate part of book, quantifier for books, lengths of cloth.    အုပ်ဒုတိယ (n) volume II. [id] ဒုတိယအုပ်။    လိက်အုပ် (n) book, codex. [id] လိက်ကၞပ်။    လိက်မွဲအုပ် (n) a book. [Cf.] ကၞပ်၊ စံၚ်။"
Quantifier for books.    ယာတ်စံၚ်  coverlet.    လိက်မွဲစံၚ်  a book.  အုပ်။,စံၚ်,2 (n) quantifier for books.    ယာတ်စံၚ် (n) coverlet.    လိက်မွဲစံၚ် (n) a book. [Syn.] အုပ်။
Quantifier for corpses.  ထ္ၜောံ၊ ဗ္ၜောံ။,ခၜေါမ်,"(n) log, esp as quantifier, quantifier for corpses. [id] ထ္ၜောံ(မ်)၊ ဗ္ၜောံ(မ်)။"
Quantifier for corpses.  ထ္ၜောံ၊ ဝိုၚ်။    ဆုထ္ၜောံ  log.    ဒုန်ပိထ္ၜောံ  three lengths of bamboo.    ထ္ၜောံတၠၚ်ရပ်သာ်  form,ထၜေံါ,"2 ထၜေါမ် (n) log, esp. as quantifier, quantifier for corpses. [id] ထ္ၜောံ(မ်)၊ ဝိုၚ်။    ဆုထ္ၜောံ(မ်) (n) log.    ဒုန်ပိထ္ၜောံ(မ်) (n) three lengths of bamboo.    ထ္ၜောံတၠၚ်ရပ်သာ် (n) form."
Quantifier for cylindrical objects,တၞုၚ်,"(n) tip, end, point, extremity end of anything, starting point, opening, quantifier for cylindrical objects."
Quantifier for cylindrical objects.  ကၞုၚ်၊ တၞုၚ်။,ကဏုၚ်,"(n) tip, end, point, quantifier for cylindrical objects. [id] ကၞုၚ်၊ တၞုၚ်။"
Quantifier for fruit,မ,"2 (n) seed, kernel, pill, small particle, small round object, quantifier for fruit, clocks.    ဂဥုဲမ (n) pills.    နာဍဳမွဲမ (n) one clock.    ဝေၚ်မကဴကှေ် (n) to play the Mimusops seed game.   သတ်ဂစွံပိမ (n) three myrobalans. [Cf.] [id] ဖ္ဍန်။"
Quantifier for human beings,ဇကု,"(n) person, body, self. {polite term of address and reference-in-address between persons of equal status and some acquaintance, and to person of lower age-status, quantifier for human beings."
Quantifier for objects arranged in groups,ကနိပ်,"(n) see ကဏိပ် (n) head, quantifier for objects arranged in groups."
Quantifier for objects arranged in groups,ကၞိပ်,"(n) see ကဏိပ် (n) head, quantifier for objects arranged in groups."
Quantifier for rings.    လဳမဴမွဲဇြေဟ်  a quarter of orange.  လဳမဴမွဲဇၞဳ။,ဇြေဟ်,"1 (n) circle, ring, quarter of citrus fruit, {formal} quantifier for rings.    လဳမဴမွဲဇြေဟ် (n) a quarter of orange. [id] လဳမဴမွဲဇၞဳ။"
