English,Mon,Original_Definition
Objector,မၞိဟ်ဒစဵုဒစး,"(n) deviationist, objector, opposition. (adv) {speak} against, {act} counter to."
Objects fashioned on lathe,ကပေါတ်တောၚ်,(n) objects fashioned on lathe.
Obligatory.  မထေက်ကဵုသ္ဒးယဵုဒုၚ်သ္ပပွ။,မထေက်ကဵုသ္ဒးမၚ်မွဲထိၚ်ဒက်,(adj) obligatory. [id] မထေက်ကဵုသ္ဒးယဵုဒုၚ်သ္ပပွ။
Obliging,မလေပ်ကဵုအရီုအဗၚ်,(adj) obliging.
Obligingly,ဗက်ဍာ်ဗက်က,"(adv) accommodatingly, obligingly."
Oblique,ဇဲ,"2 (v) to be crooked, awry, oblique, slant, incline, lean, sway, totter, decline. [Cf.] ထ္အေၚ်၊ ထစေၚ်၊ ဒၠိန်၊ ဗၠေၚ်၊ သၠေဝ်၊ ၜေဲ။"
Oblique,ပၞောန်ဒစေၚ်,"(n) diagonal mark, oblique, slanting lien."
Oblique or indirect reference,အလိတ်,"(n) stratagem, device, synonym, oblique or indirect reference, deception ruse."
Obliterate,ပလီုထောံ,"(v) obliterate, efface, eradicate {evidence, records, accounts} {of person of royal blood} execute."
Obliterate,ပၠေၚ်,"(v) to waste, squander, to destroy, obliterate, to blot out, to overcome. [Cf.] ပလီု၊ ဖ္အိုတ်၊ ဗလီု။ [Der.] လေၚ် (v) to be dissipated."
Obliterated,လေၚ်ဗၠိုက်,"(v) to be lost, destroyed, obliterated."
Obliteration.  ဒဒှ်မပလီုထောံ။,ဒဒှ်မပဲါထောံ,"(n) rejection, obliteration. [id] ဒဒှ်မပလီုထောံ(အ်)။"
Oblivion,နိရောဓ,"(n) [P.] oblivion, cessation, Nirvana."
Oblivious.  မဟွံပသ္တိ။,မသမ္တီဟွံဒး,(adj) oblivious. [id] မဟွံပသ္တိ။
Oboe of cylindrical bore with multiple reed and loosely attached brass bell,သၞောဲ,(n) oboe of cylindrical bore with multiple reed and loosely attached brass bell.
Oboe of cylindrical bore with multiple reed and loosely attached brass bell,သၞောယ်,(n) oboe of cylindrical bore with multiple reed and loosely attached brass bell.
Oboe of cylindrical bore with multiple reed and loosely attached brass bell.  ခဏောဲ၊ သၞဲ၊ သၞောဲ။,ခၞောဲ,(n) oboe of cylindrical bore with multiple reed and loosely attached brass bell. [id] ခဏောဲ(ယ်)၊ သၞဲ(ယ်)၊ သၞောဲ(ယ်)။
Oboe of cylindrical bore with multiple reed and loosely attached brass bell.  ခၞောဲ၊ သၞဲ၊ သၞောဲ။,ခဏောဲ,(n) oboe of cylindrical bore with multiple reed and loosely attached brass bell. [id] ခၞောဲ(ယ်)၊ သၞဲ(ယ)၊ သၞောဲ(ယ်)။
Oboe player,သၟာသၞောဲ,"(adj) oboe player, fifer."
Oboe player.  သၟာသၞောဲ။,ခမှာသၞောဲ,(n) oboe player. [id] သၟာသၞောဲ(ယ်)။
Obscene language,ဂလာန်မကၠိပ်,"(n) foul, obscene language."
